# mean(lg_P), var(lg_P), mode(P)
3.934254 0.000000 8595.153760
3.904128 0.000000 8019.133864
3.864145 0.000000 7313.822255
3.819067 0.000000 6592.753877
3.772451 0.000000 5921.751880
3.706500 0.000000 5087.445574
3.661166 0.000000 4583.166299
3.613303 0.000000 4104.903324
3.564284 0.000000 3666.767713
3.529257 0.000000 3382.645425
3.494501 0.000000 3122.487474
3.455619 0.000000 2855.081446
3.402145 0.000000 2524.321327
3.350976 0.000000 2243.753885
3.274502 0.000000 1881.486681
3.198767 0.000000 1580.398139
3.115610 0.000000 1304.995758
3.059989 0.000000 1148.123771
3.018310 0.000000 1043.060688
2.956994 0.000000 905.719687
2.882175 0.000000 762.384383
2.804061 0.000000 636.884846
2.736142 0.000001 544.678006
2.675405 0.000000 473.592158
2.608221 0.000013 405.687801
2.533788 0.000000 341.812013
2.465852 0.000001 292.315091
2.396496 0.000001 249.169087
2.329222 0.000001 213.412896
2.262961 0.000001 183.213936
2.195871 0.000001 156.988981
2.131067 0.000001 135.227458
2.063560 0.000002 115.759059
1.998985 0.000002 99.765677
1.934450 0.000008 85.986902
1.871522 0.000012 74.386626
1.812817 0.000014 64.980855
1.752247 0.000012 56.522248
1.690874 0.000017 49.072211
1.642167 0.000019 43.865622
1.588001 0.000019 38.721907
1.538979 0.000034 34.586103
1.486438 0.000024 30.646631
1.442283 0.000060 27.678610
1.390894 0.000071 24.588367
1.343627 0.000040 22.056472
1.294085 0.000016 19.681033
1.250084 0.000016 17.784735
1.203388 0.000011 15.972147
1.156760 0.000017 14.345707
1.112672 0.000015 12.960967
1.061098 0.000011 11.509887
1.014982 0.000009 10.350462
0.967031 0.000007 9.268610
0.915179 0.000008 8.225484
0.858132 0.000020 7.212500
0.807315 0.000012 6.416350
0.747555 0.000010 5.591546
0.684483 0.000010 4.835696
0.620901 0.000009 4.177153
0.553680 0.000009 3.578159
0.486018 0.000008 3.061960
0.414867 0.000008 2.599256
0.342925 0.000008 2.202452
