# mean(lg_P), var(lg_P), mode(P)
4.246322 0.000000 17632.822242
4.220988 0.000000 16633.665056
4.184624 0.000000 15297.612673
4.143290 0.000000 13908.809284
4.101920 0.000000 12645.025730
4.034612 0.000000 10829.584260
3.995705 0.000000 9901.584187
3.952045 0.000000 8954.572710
3.905931 0.000000 8052.507906
3.874208 0.000000 7485.276128
3.841654 0.000000 6944.704472
3.804289 0.000000 6372.186431
3.747059 0.000000 5585.458396
3.701464 0.000000 5028.791717
3.628675 0.000000 4252.791008
3.562337 0.000000 3650.370807
3.485174 0.000000 3056.143254
3.436585 0.000000 2732.653495
3.394596 0.000000 2480.823461
3.331365 0.000000 2144.689230
3.265977 0.000000 1844.916204
3.201702 0.000000 1591.116525
3.141931 0.000001 1386.530266
3.083019 0.000000 1210.649879
3.025209 0.000015 1059.679558
2.966408 0.000001 925.563769
2.903745 0.000000 801.205556
2.851838 0.000002 710.941550
2.791891 0.000001 619.281843
2.739964 0.000000 549.494167
2.687877 0.000001 487.389041
2.636938 0.000000 433.448694
2.585593 0.000003 385.111718
2.537071 0.000001 344.403881
2.489025 0.000001 308.334548
2.443714 0.000002 277.785386
2.399383 0.000003 250.827600
2.357390 0.000002 227.711499
2.314822 0.000004 206.449253
2.274439 0.000003 188.118528
2.234132 0.000004 171.444173
2.196083 0.000007 157.060583
2.156499 0.000006 143.378575
2.116518 0.000008 130.767367
2.077933 0.000009 119.649661
2.036875 0.000010 108.856112
1.991439 0.000006 98.044789
1.948669 0.000010 88.847608
1.900340 0.000010 79.490760
1.850535 0.000009 70.878470
1.798842 0.000012 62.923801
1.742513 0.000011 55.269721
1.687004 0.000010 48.638535
1.628011 0.000009 42.461096
1.568277 0.000008 37.004770
1.506790 0.000010 32.119340
1.443178 0.000013 27.742639
1.376338 0.000013 23.785287
1.306598 0.000013 20.256638
1.236026 0.000011 17.218718
1.163411 0.000014 14.567275
1.090496 0.000011 12.316012
1.016200 0.000015 10.379250
0.939639 0.000015 8.701727
