# mean(lg_P), var(lg_P), mode(P)
3.702608 0.000000 5042.064508
3.680174 0.000000 4788.218409
3.649650 0.000000 4463.234787
3.615102 0.000000 4121.942936
3.578137 0.000000 3785.614728
3.525756 0.000000 3355.490476
3.487406 0.000000 3071.889211
3.446842 0.000000 2797.960452
3.405174 0.000000 2541.991709
3.373859 0.000000 2365.148961
3.341858 0.000000 2197.141570
3.305351 0.000000 2019.995311
3.257330 0.000000 1808.549270
3.210357 0.000000 1623.141814
3.142526 0.000000 1388.434950
3.073972 0.000000 1185.689835
2.998406 0.000000 996.335006
2.944991 0.000000 881.029299
2.903253 0.000000 800.299380
2.845191 0.000000 700.149948
2.774317 0.000000 594.725993
2.698490 0.000000 499.447068
2.633497 0.000000 430.027606
2.573602 0.000000 374.628935
2.505824 0.000007 320.484245
2.432311 0.000001 270.588763
2.365666 0.000000 232.094448
2.294168 0.000000 196.864657
2.227330 0.000000 168.783347
2.158945 0.000000 144.193203
2.089699 0.000000 122.941550
2.022910 0.000000 105.416742
1.955635 0.000000 90.288905
1.886736 0.000000 77.043416
1.819952 0.000000 66.061820
1.754136 0.000001 56.772060
1.691655 0.000001 49.164789
1.629937 0.000000 42.651682
1.566487 0.000000 36.854146
1.507057 0.000000 32.140748
1.448310 0.000001 28.074278
1.390094 0.000001 24.552326
1.334559 0.000002 21.605053
1.280549 0.000001 19.078590
1.225634 0.000001 16.812488
1.174812 0.000001 14.955777
1.123856 0.000001 13.300044
1.074120 0.000003 11.860756
1.023868 0.000002 10.564870
0.975637 0.000004 9.454292
0.926854 0.000003 8.449814
0.878438 0.000003 7.558445
0.829564 0.000007 6.753803
0.778050 0.000004 5.998457
0.725102 0.000004 5.309992
0.670739 0.000008 4.685132
0.615076 0.000005 4.121588
0.557168 0.000005 3.607088
0.495351 0.000009 3.128461
0.430983 0.000008 2.697522
0.364112 0.000008 2.312570
0.294750 0.000008 1.971207
0.224192 0.000010 1.675594
0.151185 0.000010 1.416321
