# mean(lg_P), var(lg_P), mode(P)
3.930680 0.000000 8524.709957
3.903661 0.000000 8010.527620
3.866746 0.000000 7357.766872
3.824699 0.000000 6678.799316
3.780955 0.000000 6038.855899
3.718461 0.000000 5229.509112
3.676225 0.000000 4744.876208
3.632663 0.000000 4292.027616
3.589498 0.000000 3885.955685
3.560840 0.000000 3637.807556
3.532468 0.000000 3407.753673
3.499452 0.000000 3158.288688
3.448875 0.000000 2811.089688
3.399024 0.000000 2506.244361
3.322071 0.000000 2099.278460
3.246570 0.000000 1764.286449
3.167058 0.000000 1469.121471
3.120970 0.000000 1321.202204
3.085425 0.000000 1217.375008
3.025065 0.000000 1059.410011
2.948221 0.000000 887.605842
2.872313 0.000000 745.268759
2.812226 0.000000 648.970259
2.756279 0.000000 570.530225
2.686005 0.000004 485.282385
2.616670 0.000000 413.684348
2.553388 0.000000 357.591625
2.485468 0.000000 305.821043
2.421723 0.000000 264.072096
2.358257 0.000000 228.168790
2.293331 0.000000 196.485100
2.232459 0.000000 170.788574
2.170392 0.000000 148.044138
2.105816 0.000001 127.589332
2.047730 0.000001 111.616550
1.989444 0.000000 97.598462
1.932193 0.000001 85.544360
1.875760 0.000000 75.120637
1.821320 0.000000 66.270371
1.768535 0.000001 58.685883
1.716124 0.000001 52.014193
1.667089 0.000000 46.460895
1.615978 0.000001 41.302387
1.567852 0.000001 36.969986
1.522349 0.000001 33.292542
1.474641 0.000001 29.829029
1.428973 0.000002 26.851517
1.379155 0.000003 23.941347
1.333319 0.000002 21.543479
1.283506 0.000004 19.208677
1.234201 0.000004 17.147178
1.183351 0.000007 15.252260
1.128736 0.000007 13.449897
1.077436 0.000039 11.949427
1.016081 0.000004 10.377005
0.956643 0.000008 9.049493
0.893807 0.000005 7.830593
0.826871 0.000006 6.712094
0.757193 0.000006 5.717145
0.685953 0.000007 4.852182
0.611871 0.000006 4.091264
0.535497 0.000006 3.431490
0.458053 0.000007 2.871016
0.379150 0.000008 2.394036
