# mean(lg_P), var(lg_P), mode(P)
3.808060 0.000000 6427.758625
3.776908 0.000000 5982.840778
3.736897 0.000000 5456.274928
3.692044 0.000000 4920.887452
3.645487 0.000000 4420.659606
3.581393 0.000000 3814.099060
3.534947 0.000000 3427.259661
3.487285 0.000000 3071.034914
3.438209 0.000000 2742.890058
3.402923 0.000000 2528.847414
3.367853 0.000000 2332.664268
3.329112 0.000000 2133.591895
3.279833 0.000001 1904.721127
3.224730 0.000000 1677.760801
3.148354 0.000000 1407.192721
3.070868 0.000000 1177.246464
2.987253 0.000001 971.070991
2.930482 0.000000 852.081045
2.889325 0.000000 775.041355
2.828538 0.000000 673.809979
2.752062 0.000000 565.016084
2.670742 0.000000 468.533943
2.601550 0.000001 399.528820
2.540911 0.000000 347.464396
2.470936 0.000010 295.741551
2.392852 0.000001 247.086979
2.323734 0.000001 210.732978
2.250545 0.000002 178.049476
2.181014 0.000001 151.709490
2.111399 0.000000 129.240199
2.038318 0.000001 109.223319
1.971512 0.000001 93.650490
1.900433 0.000002 79.511100
1.827157 0.000003 67.165964
1.762253 0.000002 57.842701
1.694834 0.000003 49.525407
1.629202 0.000003 42.578961
1.567363 0.000002 36.928151
1.502500 0.000002 31.804994
1.441763 0.000017 27.651892
1.381848 0.000009 24.089538
1.322119 0.000004 20.994729
1.268797 0.000010 18.568317
1.209808 0.000006 16.210420
1.149940 0.000013 14.122432
1.098437 0.000013 12.543159
1.049311 0.000007 11.201986
0.995400 0.000015 9.893861
0.943194 0.000015 8.773221
0.897680 0.000009 7.900576
0.852706 0.000012 7.123255
0.800797 0.000011 6.320795
0.752918 0.000009 5.661069
0.701199 0.000006 5.025561
0.652661 0.000005 4.494163
0.600150 0.000007 3.982291
0.548659 0.000007 3.537076
0.493691 0.000006 3.116578
0.435791 0.000007 2.727566
0.376379 0.000006 2.378844
0.313236 0.000007 2.056928
0.245875 0.000009 1.761388
0.179146 0.000008 1.510522
0.110410 0.000006 1.289424
