# mean(lg_P), var(lg_P), mode(P)
3.559117 0.000000 3623.403358
3.531082 0.000000 3396.891246
3.494685 0.000000 3123.808726
3.453803 0.000000 2843.165992
3.410702 0.000000 2574.550032
3.354135 0.000000 2260.134449
3.310415 0.000000 2043.690084
3.265712 0.000000 1843.789220
3.220896 0.000000 1663.014347
3.186902 0.000000 1537.807892
3.153405 0.000000 1423.653916
3.115150 0.000000 1303.614631
3.065233 0.000000 1162.070414
3.013035 0.000000 1030.468643
2.939960 0.000000 870.882111
2.864966 0.000000 732.765632
2.786460 0.000000 611.588768
2.732636 0.000000 540.300487
2.689525 0.000000 489.242820
2.629473 0.000000 426.061236
2.552310 0.000000 356.705433
2.471387 0.000000 296.064404
2.404177 0.000000 253.616100
2.344009 0.000000 220.804509
2.269274 0.000003 185.894720
2.191685 0.000001 155.483172
2.122592 0.000000 132.614543
2.045390 0.000000 111.016902
1.974262 0.000000 94.245711
1.900739 0.000000 79.567991
1.825249 0.000000 66.872637
1.752139 0.000000 56.511614
1.679200 0.000000 47.774844
1.602062 0.000000 40.000129
1.529400 0.000000 33.837567
1.456895 0.000000 28.634808
1.384580 0.000001 24.242579
1.313529 0.000000 20.583905
1.242791 0.000000 17.490014
1.172538 0.000000 14.877743
1.103232 0.000000 12.683265
1.035006 0.000000 10.839387
0.968714 0.000000 9.304919
0.902942 0.000001 7.997251
0.839211 0.000000 6.905736
0.776032 0.000000 5.970775
0.714427 0.000001 5.181149
0.655686 0.000000 4.525693
0.596248 0.000001 3.946810
0.540767 0.000001 3.473483
0.484193 0.000001 3.049238
0.429047 0.000002 2.685606
0.374948 0.000002 2.371067
0.321216 0.000001 2.095147
0.268642 0.000001 1.856265
0.215825 0.000001 1.643698
0.163196 0.000001 1.456108
0.109530 0.000002 1.286843
0.055437 0.000004 1.136131
0.000089 0.000002 1.000194
-0.057771 0.000003 0.875431
-0.116474 0.000004 0.764743
-0.176735 0.000006 0.665657
-0.239537 0.000006 0.576035
