# mean(lg_P), var(lg_P), mode(P)
4.271696 0.000000 18693.747385
4.254002 0.000000 17947.400279
4.226074 0.000000 16829.616333
4.193451 0.000000 15611.722854
4.160025 0.000000 14455.215846
4.100746 0.000000 12610.885460
4.068797 0.000000 11716.461402
4.031240 0.000000 10745.825867
3.992446 0.000000 9827.567492
3.966834 0.000000 9264.753144
3.939695 0.000000 8703.512369
3.907496 0.000000 8081.566746
3.855802 0.000000 7174.664905
3.816003 0.000000 6546.401175
3.748600 0.000000 5605.307774
3.688444 0.000000 4880.262739
3.616711 0.000000 4137.234595
3.573313 0.000000 3743.799099
3.536907 0.000000 3442.759114
3.477259 0.000000 3000.944447
3.417229 0.000000 2613.533118
3.358742 0.000000 2284.237537
3.305144 0.000001 2019.023683
3.250385 0.000000 1779.853895
3.198502 0.000012 1579.336944
3.144006 0.000001 1393.169999
3.086957 0.000001 1221.674277
3.042038 0.000002 1101.625199
2.986309 0.000001 968.962615
2.940306 0.000001 871.574431
2.893624 0.000000 782.749749
2.847829 0.000000 704.414145
2.802678 0.000005 634.844463
2.760791 0.000002 576.483070
2.715532 0.000003 519.429088
2.674893 0.000004 473.024959
2.633868 0.000005 430.384386
2.593636 0.000004 392.308177
2.554434 0.000005 358.444097
2.514802 0.000004 327.183593
2.474768 0.000004 298.372698
2.430727 0.000005 269.597898
2.391055 0.000004 246.062644
2.343567 0.000007 220.572349
2.296599 0.000005 197.964890
2.251050 0.000003 178.255174
2.208636 0.000005 161.667978
2.147772 0.000007 140.525954
2.098949 0.000008 125.582479
2.040064 0.000007 109.659679
1.978574 0.000013 95.179453
1.916154 0.000013 82.437170
1.852188 0.000008 71.149104
1.782944 0.000006 60.663873
1.713557 0.000006 51.706137
1.640040 0.000007 43.653961
1.568135 0.000009 36.992573
1.496004 0.000009 31.331669
1.422734 0.000009 26.467598
1.347733 0.000008 22.269681
1.271580 0.000009 18.687877
1.193880 0.000008 15.626510
1.116223 0.000008 13.067834
1.040236 0.000007 10.970316
