# mean(lg_P), var(lg_P), mode(P)
4.020639 0.000000 10486.679232
3.991488 0.000000 9805.912057
3.951568 0.000000 8944.738874
3.906407 0.000000 8061.340736
3.860016 0.000000 7244.620065
3.792706 0.000000 6204.481640
3.748014 0.000000 5597.748301
3.700419 0.000000 5016.708153
3.651110 0.000000 4478.265897
3.616303 0.000000 4133.357692
3.581844 0.000000 3818.064904
3.543004 0.000000 3491.433599
3.488567 0.000000 3080.116439
3.438356 0.000000 2743.823389
3.361815 0.000000 2300.458982
3.287467 0.000000 1938.503770
3.204140 0.000000 1600.072746
3.149635 0.000000 1411.347840
3.108066 0.000000 1282.523233
3.046016 0.000000 1111.770137
2.973515 0.000000 940.836762
2.897293 0.000000 789.390809
2.831763 0.000001 678.830739
2.769903 0.000000 588.711560
2.705625 0.000016 507.676784
2.633042 0.000001 429.575698
2.565511 0.000002 367.711616
2.500519 0.000003 316.601476
2.435615 0.000001 272.655195
2.370432 0.000001 234.654952
2.306980 0.000002 202.756611
2.245703 0.000000 176.076965
2.180643 0.000006 151.575557
2.121177 0.000002 132.181929
2.059106 0.000007 114.575022
2.002867 0.000003 100.660731
1.944520 0.000024 87.996652
1.888168 0.000038 77.282413
1.834866 0.000042 68.354844
1.780831 0.000050 60.355445
1.732376 0.000044 53.985145
1.683711 0.000049 48.261150
1.636972 0.000055 43.335643
1.614601 0.000008 41.170129
1.553065 0.000077 35.717957
1.509517 0.000059 32.313333
1.462371 0.000047 28.990901
1.422991 0.000041 26.478658
1.378914 0.000024 23.925359
1.337029 0.000008 21.727606
1.296430 0.000011 19.788104
1.242105 0.000009 17.461624
1.185482 0.000049 15.323887
1.148148 0.000009 14.064546
1.093244 0.000009 12.394321
1.035064 0.000035 10.838842
0.976905 0.000034 9.480394
0.919492 0.000014 8.307298
0.856440 0.000014 7.184683
0.788167 0.000015 6.139476
0.723454 0.000011 5.289664
0.654417 0.000012 4.512225
0.583682 0.000011 3.834031
0.509754 0.000015 3.233840
