# mean(lg_P), var(lg_P), mode(P)
4.200544 0.000000 15868.805497
4.179414 0.000000 15115.196311
4.148167 0.000000 14065.884598
4.112492 0.000000 12956.616818
4.076116 0.000000 11915.604709
4.014940 0.000000 10349.984099
3.979648 0.000000 9542.179491
3.938890 0.000000 8687.397286
3.895319 0.000000 7858.121536
3.865041 0.000000 7328.937514
3.832695 0.000000 6802.904448
3.796836 0.000000 6263.766357
3.742901 0.000000 5532.235291
3.701010 0.000000 5023.532085
3.633374 0.000000 4299.064100
3.570982 0.000000 3723.761415
3.495712 0.000000 3131.202731
3.446240 0.000000 2794.084522
3.404598 0.000000 2538.617192
3.344202 0.000000 2209.028935
3.282112 0.000000 1914.745504
3.219364 0.000000 1657.156853
3.158659 0.000001 1440.978588
3.101638 0.000000 1263.682121
3.044080 0.000014 1106.746427
2.986825 0.000001 970.116065
2.925213 0.000000 841.806065
2.872607 0.000001 745.768573
2.814483 0.000001 652.351985
2.763039 0.000001 579.478485
2.711066 0.000000 514.121094
2.660598 0.000001 457.717046
2.608972 0.000004 406.407739
2.561748 0.000002 364.539299
2.514288 0.000004 326.796465
2.468851 0.000006 294.331228
2.424654 0.000007 265.849831
2.383789 0.000006 241.977295
2.339599 0.000011 218.561874
2.299782 0.000007 199.418130
2.258503 0.000008 181.336198
2.220548 0.000011 166.158847
2.178286 0.000008 150.753941
2.137249 0.000010 137.159700
2.096983 0.000020 125.008030
2.051721 0.000013 112.639507
2.002649 0.000005 100.609086
1.957458 0.000009 90.664260
1.904097 0.000008 80.182245
1.852078 0.000009 71.130702
1.795494 0.000013 62.440191
1.734138 0.000012 54.213919
1.674811 0.000009 47.292246
1.612532 0.000007 40.974686
1.547097 0.000007 35.243663
1.479530 0.000010 30.165190
1.412285 0.000010 25.838101
1.339939 0.000010 21.873359
1.262774 0.000015 18.312189
1.191565 0.000009 15.543330
1.114686 0.000012 13.021373
1.037351 0.000011 10.897458
0.961029 0.000008 9.141335
0.880067 0.000008 7.586627
