# mean(lg_P), var(lg_P), mode(P)
4.109940 0.000000 12880.711427
4.083457 0.000000 12118.725669
4.046460 0.000000 11129.085186
4.004611 0.000000 10106.726857
3.961755 0.000000 9157.030339
3.896937 0.000000 7887.457051
3.857794 0.000000 7207.648395
3.815606 0.000000 6540.424199
3.773509 0.000000 5936.201450
3.745933 0.000000 5570.991622
3.716993 0.000000 5211.862074
3.682397 0.000000 4812.783467
3.627405 0.000000 4240.376987
3.576642 0.000000 3772.610819
3.498993 0.000000 3154.949856
3.428507 0.000000 2682.294521
3.354304 0.000000 2261.016586
3.312417 0.000000 2053.129692
3.275160 0.000000 1884.343393
3.209177 0.000000 1618.736651
3.135058 0.000000 1364.762036
3.068591 0.000000 1171.089852
3.013794 0.000001 1032.267534
2.953604 0.000000 898.677445
2.890575 0.000022 777.184558
2.827739 0.000001 672.570577
2.764805 0.000001 581.839790
2.705746 0.000001 507.859149
2.644939 0.000001 441.505923
2.588426 0.000000 387.636746
2.531412 0.000001 339.946715
2.477081 0.000001 299.971091
2.420805 0.000005 263.508527
2.366974 0.000001 232.793143
2.314799 0.000002 206.439847
2.264398 0.000005 183.817164
2.215814 0.000006 164.361204
2.168570 0.000003 147.422572
2.122603 0.000002 132.616733
2.077618 0.000004 119.566102
2.034228 0.000003 108.198295
1.991441 0.000012 98.042057
1.949398 0.000011 88.996573
1.906274 0.000017 80.581289
1.865703 0.000019 73.393682
1.824853 0.000012 66.807663
1.782535 0.000007 60.606473
1.737898 0.000013 54.685056
1.693612 0.000012 49.383878
1.646293 0.000011 44.286080
1.595714 0.000021 39.415374
1.547172 0.000012 35.248854
1.493554 0.000008 31.155489
1.438086 0.000007 27.420187
1.381296 0.000008 24.058998
1.320683 0.000008 20.924950
1.259235 0.000013 18.163723
1.194347 0.000011 15.643027
1.126286 0.000012 13.373946
1.059845 0.000013 11.476632
0.984701 0.000009 9.653376
0.912912 0.000008 8.182619
0.841971 0.000011 6.949367
0.765524 0.000009 5.827791
