# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 3.868185 0.000000 7382.190195
-1.560025 3.842497 0.000000 6958.195150
-1.520288 3.807109 0.000000 6413.701051
-1.480552 3.767693 0.000000 5857.239530
-1.440816 3.727212 0.000000 5335.949142
-1.401080 3.670224 0.000000 4679.759766
-1.361343 3.633909 0.000000 4304.367438
-1.321607 3.597283 0.000000 3956.245392
-1.281871 3.561895 0.000000 3646.655806
-1.242135 3.538370 0.000000 3454.377576
-1.202399 3.511043 0.000000 3243.716864
-1.162662 3.472638 0.000000 2969.192657
-1.122926 3.413413 0.000000 2590.675471
-1.083190 3.352507 0.000000 2251.681645
-1.043454 3.271789 0.000000 1869.774375
-1.003717 3.205231 0.000000 1604.098385
-0.963981 3.145243 0.000000 1397.149765
-0.924245 3.109968 0.000000 1288.154270
-0.884509 3.064245 0.000000 1159.431410
-0.844773 2.981945 0.000000 959.278107
-0.805036 2.901731 0.000000 797.500494
-0.765300 2.846150 0.000000 701.696741
-0.725564 2.792489 0.000000 620.139346
-0.685828 2.716427 0.000000 520.507634
-0.646091 2.646686 0.000000 443.288056
-0.606355 2.587713 0.000000 387.001499
-0.566619 2.514828 0.000000 327.211093
-0.526883 2.446568 0.000000 279.619977
-0.487147 2.383584 0.000000 241.871232
-0.447410 2.316662 0.000000 207.329833
-0.407674 2.251419 0.000000 178.409775
-0.367938 2.188006 0.000000 154.171966
-0.328202 2.123881 0.000000 133.008805
-0.288465 2.058473 0.000000 114.412304
-0.248729 1.997577 0.000000 99.443395
-0.208993 1.936740 0.000000 86.444931
-0.169257 1.878267 0.000000 75.555544
-0.129520 1.820596 0.000000 66.160000
-0.089784 1.763177 0.000000 57.966377
-0.050048 1.708575 0.000000 51.118094
-0.010312 1.655071 0.000000 45.192892
0.029424 1.603846 0.000000 40.164764
0.069161 1.552043 0.000000 35.648538
0.108897 1.502244 0.000000 31.786563
0.148633 1.453048 0.000001 28.382240
0.188369 1.405038 0.000001 25.411814
0.228106 1.357286 0.000002 22.765727
0.267842 1.310174 0.000002 20.425393
0.307578 1.261853 0.000002 18.274585
0.347314 1.213783 0.000002 16.359800
0.387050 1.164076 0.000002 14.590522
0.426787 1.114474 0.000002 13.015791
0.466523 1.062809 0.000002 11.555927
0.506259 1.008293 0.000002 10.192688
0.545995 0.951711 0.000005 8.947453
0.585732 0.892039 0.000005 7.798814
0.625468 0.828958 0.000001 6.744585
0.665204 0.764626 0.000002 5.815967
0.704940 0.696844 0.000003 4.975507
0.744677 0.627516 0.000002 4.241427
0.784413 0.555424 0.000003 3.592678
0.824149 0.480893 0.000003 3.026116
0.863885 0.406294 0.000005 2.548491
0.903621 0.328472 0.000005 2.130401
