# cosmologies
# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas MWDM_inverse
.30 .045 .7 2.1e-9 .96 -1. 0. .2 3. 0. .3  # reference
2.67000000e-01 4.50000000e-02 7.41998516e-01 2.10000000e-09 9.60000000e-01 -1.00000000e+00 0.00000000e+00 2.00000000e-01 3.00000000e+00 0.00000000e+00 3.00000000e-01 # fixed Omega_m * h^2
2.74000000e-01 4.50000000e-02 7.32459112e-01 2.10000000e-09 9.60000000e-01 -1.00000000e+00 0.00000000e+00 2.00000000e-01 3.00000000e+00 0.00000000e+00 3.00000000e-01
2.81000000e-01 4.50000000e-02 7.23278420e-01 2.10000000e-09 9.60000000e-01 -1.00000000e+00 0.00000000e+00 2.00000000e-01 3.00000000e+00 0.00000000e+00 3.00000000e-01
2.88000000e-01 4.50000000e-02 7.14434508e-01 2.10000000e-09 9.60000000e-01 -1.00000000e+00 0.00000000e+00 2.00000000e-01 3.00000000e+00 0.00000000e+00 3.00000000e-01
2.95000000e-01 4.50000000e-02 7.05907278e-01 2.10000000e-09 9.60000000e-01 -1.00000000e+00 0.00000000e+00 2.00000000e-01 3.00000000e+00 0.00000000e+00 3.00000000e-01
3.02000000e-01 4.50000000e-02 6.97678269e-01 2.10000000e-09 9.60000000e-01 -1.00000000e+00 0.00000000e+00 2.00000000e-01 3.00000000e+00 0.00000000e+00 3.00000000e-01
3.09000000e-01 4.50000000e-02 6.89730495e-01 2.10000000e-09 9.60000000e-01 -1.00000000e+00 0.00000000e+00 2.00000000e-01 3.00000000e+00 0.00000000e+00 3.00000000e-01
3.16000000e-01 4.50000000e-02 6.82048293e-01 2.10000000e-09 9.60000000e-01 -1.00000000e+00 0.00000000e+00 2.00000000e-01 3.00000000e+00 0.00000000e+00 3.00000000e-01
3.23000000e-01 4.50000000e-02 6.74617195e-01 2.10000000e-09 9.60000000e-01 -1.00000000e+00 0.00000000e+00 2.00000000e-01 3.00000000e+00 0.00000000e+00 3.00000000e-01
