# mean(lg_P), var(lg_P), mode(P)
3.992863 0.000000 9837.010099
3.965700 0.000000 9240.588491
3.928639 0.000000 8484.754173
3.886700 0.000000 7703.698965
3.843741 0.000000 6978.153339
3.780978 0.000000 6039.177557
3.740917 0.000000 5507.025539
3.698494 0.000000 4994.524767
3.656618 0.000000 4535.426821
3.628624 0.000000 4252.299596
3.599651 0.000000 3977.866781
3.564640 0.000000 3669.778215
3.511228 0.000000 3245.094156
3.458786 0.000000 2875.975751
3.380787 0.000000 2403.180198
3.308455 0.000000 2034.483454
3.234149 0.000000 1714.543503
3.191072 0.000000 1552.641069
3.154107 0.000000 1425.957092
3.088457 0.000000 1225.903720
3.011145 0.000000 1025.991859
2.941357 0.000000 873.687875
2.886225 0.000001 769.525027
2.825398 0.000000 668.955911
2.757872 0.000016 572.578221
2.692211 0.000001 492.277433
2.627975 0.000000 424.594483
2.562285 0.000000 364.992715
2.501190 0.000001 317.094050
2.439620 0.000000 275.181417
2.377922 0.000000 238.737495
2.319142 0.000000 208.517133
2.259458 0.000003 181.740468
2.199324 0.000001 158.241717
2.142460 0.000000 138.822079
2.086775 0.000001 122.116289
2.033859 0.000001 108.107334
1.980708 0.000001 95.654618
1.929311 0.000001 84.978612
1.879222 0.000002 75.721056
1.832032 0.000002 67.924632
1.787103 0.000002 61.248780
1.739800 0.000002 54.928220
1.697060 0.000005 49.779198
1.653447 0.000006 45.022900
1.609073 0.000003 40.650459
1.565001 0.000006 36.727165
1.521824 0.000009 33.250954
1.475639 0.000008 29.896467
1.429064 0.000007 26.856366
1.381214 0.000013 24.053875
1.331184 0.000009 21.436935
1.279775 0.000006 19.044106
1.226476 0.000005 16.844734
1.170361 0.000005 14.802985
1.112491 0.000006 12.956162
1.050845 0.000007 11.241620
0.987108 0.000006 9.707187
0.920546 0.000007 8.327787
0.852406 0.000007 7.118536
0.782295 0.000007 6.057313
0.710528 0.000007 5.134668
0.636763 0.000007 4.332587
0.561916 0.000006 3.646712
