# mean(lg_P), var(lg_P), mode(P)
4.191238 0.000000 15532.367315
4.165235 0.000000 14629.674585
4.128286 0.000000 13436.487788
4.086408 0.000000 12201.355652
4.043847 0.000000 11062.329593
3.977454 0.000000 9494.099388
3.939088 0.000000 8691.351908
3.897035 0.000000 7889.241340
3.854804 0.000000 7158.203976
3.827481 0.000000 6721.725842
3.798784 0.000000 6291.923149
3.764327 0.000000 5812.013573
3.708318 0.000000 5108.792914
3.658663 0.000000 4556.824986
3.581282 0.000000 3813.133177
3.512272 0.000000 3252.902747
3.438592 0.000000 2745.311104
3.397013 0.000000 2494.665325
3.359944 0.000000 2290.570977
3.293794 0.000000 1966.952661
3.221887 0.000000 1666.811022
3.157973 0.000000 1438.706721
3.103852 0.000001 1270.138466
3.044389 0.000000 1107.613827
2.985678 0.000020 967.458086
2.924224 0.000001 839.890772
2.862122 0.000000 727.982669
2.807524 0.000002 641.977200
2.748002 0.000001 559.757502
2.695197 0.000000 495.673849
2.641782 0.000001 438.308724
2.590277 0.000000 389.292745
2.539235 0.000005 346.116926
2.487909 0.000001 307.543081
2.438835 0.000002 274.682881
2.392723 0.000003 247.010394
2.347557 0.000003 222.613016
2.304043 0.000005 201.386968
2.261077 0.000006 182.415830
2.220429 0.000004 166.119405
2.179740 0.000007 151.259816
2.140469 0.000008 138.182026
2.101634 0.000009 126.361521
2.061274 0.000010 115.146251
2.020773 0.000009 104.894493
1.980875 0.000008 95.687924
1.942512 0.000007 87.598134
1.896845 0.000008 78.854624
1.852800 0.000008 71.249402
1.808713 0.000009 64.371160
1.756351 0.000013 57.058741
1.705385 0.000009 50.741511
1.655260 0.000016 45.208802
1.594824 0.000009 39.337237
1.535489 0.000008 34.313881
1.477861 0.000016 30.048662
1.413156 0.000022 25.888466
1.347466 0.000019 22.254765
1.280210 0.000017 19.062078
1.211883 0.000016 16.287216
1.142267 0.000014 13.875027
1.071150 0.000014 11.779285
0.998331 0.000014 9.960894
0.925101 0.000015 8.415225
