# mean(lg_P), var(lg_P), mode(P)
4.067761 0.000000 11688.553831
4.033220 0.000000 10794.929469
3.987153 0.000000 9708.505272
3.935559 0.000000 8621.016802
3.882852 0.000000 7635.758413
3.807531 0.000000 6419.940575
3.757515 0.000000 5721.561806
3.705208 0.000000 5072.329626
3.652343 0.000000 4490.992436
3.617256 0.000000 4142.437427
3.584329 0.000000 3839.974198
3.548709 0.000000 3537.597305
3.494689 0.000000 3123.840702
3.443738 0.000000 2778.033594
3.362794 0.000000 2305.649562
3.280164 0.000000 1906.178530
3.188706 0.000000 1544.206931
3.133597 0.000000 1360.178539
3.094014 0.000000 1241.691747
3.035757 0.000000 1085.816871
2.959613 0.000000 911.196869
2.877224 0.000000 753.742463
2.807941 0.000001 642.597636
2.749779 0.000000 562.054233
2.681700 0.000021 480.454707
2.607763 0.000001 405.285894
2.539215 0.000000 346.110029
2.472590 0.000001 296.885399
2.403458 0.000001 253.195699
2.339300 0.000001 218.422898
2.271508 0.000001 186.855975
2.209006 0.000001 161.809512
2.145767 0.000005 139.879999
2.079943 0.000002 120.209409
2.019071 0.000006 104.485515
1.959235 0.000009 91.035997
1.900868 0.000014 79.585990
1.843257 0.000016 69.697944
1.787538 0.000019 61.304780
1.735751 0.000017 54.414079
1.681711 0.000016 48.047875
1.631735 0.000032 42.821500
1.581452 0.000021 38.142007
1.538511 0.000061 34.543912
1.491696 0.000067 31.012893
1.442027 0.000042 27.664921
1.394247 0.000014 24.786407
1.345058 0.000016 22.132044
1.301059 0.000013 19.999995
1.253927 0.000014 17.943019
1.204242 0.000020 16.002821
1.158845 0.000013 14.415015
1.107589 0.000010 12.810526
1.054286 0.000007 11.331079
1.001057 0.000009 10.023909
0.946247 0.000019 8.834944
0.886659 0.000016 7.702337
0.824946 0.000011 6.682234
0.761256 0.000009 5.770793
0.695537 0.000008 4.960410
0.628085 0.000009 4.246824
0.557668 0.000008 3.611196
0.486507 0.000008 3.065404
0.414184 0.000007 2.595182
