# mean(lg_P), var(lg_P), mode(P)
3.765303 0.000000 5825.088573
3.729285 0.000000 5361.485549
3.683287 0.000000 4822.655030
3.631566 0.000000 4281.204585
3.578000 0.000000 3784.427206
3.507123 0.000000 3214.569131
3.454288 0.000000 2846.343676
3.401531 0.000000 2520.754512
3.348748 0.000000 2232.277388
3.313145 0.000000 2056.576006
3.279547 0.000000 1903.473842
3.243382 0.000000 1751.384856
3.192651 0.000000 1558.298637
3.138737 0.000000 1376.374171
3.056834 0.000000 1139.812531
2.969903 0.000000 933.045504
2.877263 0.000000 753.811618
2.819495 0.000000 659.925034
2.780371 0.000000 603.074354
2.723903 0.000000 529.544356
2.643087 0.000000 439.628571
2.551014 0.000000 355.642311
2.478389 0.000001 300.876027
2.422085 0.000000 264.292027
2.345744 0.000009 221.677988
2.263061 0.000001 183.256361
2.192135 0.000001 155.644356
2.115951 0.000000 130.602196
2.040662 0.000000 109.814833
1.968126 0.000000 92.923278
1.891017 0.000001 77.806304
1.817655 0.000000 65.713428
1.744179 0.000000 55.485306
1.666225 0.000002 46.368241
1.594690 0.000001 39.326772
1.522762 0.000000 33.324322
1.450712 0.000001 28.229853
1.379821 0.000002 23.978208
1.310123 0.000001 20.423029
1.240869 0.000002 17.412678
1.172602 0.000003 14.879716
1.106242 0.000001 12.771470
1.039855 0.000000 10.961106
0.975994 0.000005 9.461989
0.915223 0.000001 8.226606
0.853034 0.000001 7.129056
0.793466 0.000001 6.215322
0.734642 0.000002 5.427979
0.678341 0.000002 4.768008
0.622758 0.000002 4.195212
0.568524 0.000005 3.702645
0.514530 0.000003 3.269818
0.461657 0.000004 2.894993
0.411149 0.000007 2.577101
0.358016 0.000005 2.280360
0.309149 0.000027 2.037447
0.256567 0.000024 1.805139
0.198496 0.000005 1.579373
0.142650 0.000006 1.388784
0.089797 0.000025 1.229533
0.030709 0.000015 1.073188
-0.032150 0.000008 0.928607
-0.095211 0.000009 0.803098
-0.161121 0.000008 0.690019
