# mean(lg_P), var(lg_P), mode(P)
3.085283 0.000000 1216.977266
3.053334 0.000000 1130.665416
3.012801 0.000000 1029.913863
2.968363 0.000000 929.743686
2.920656 0.000000 833.020168
2.863793 0.000000 730.788748
2.814502 0.000000 652.381964
2.766118 0.000000 583.602824
2.718724 0.000000 523.267185
2.681075 0.000000 479.816620
2.645670 0.000000 442.251782
2.607553 0.000000 405.091467
2.560003 0.000000 363.080457
2.503780 0.000000 318.991820
2.428210 0.000000 268.045728
2.345644 0.000000 221.637538
2.263592 0.000000 183.481264
2.205314 0.000000 160.440434
2.162509 0.000000 145.381149
2.104833 0.000000 127.301096
2.025250 0.000000 105.986065
1.931362 0.000000 85.380947
1.859796 0.000000 72.409573
1.801959 0.000001 63.380856
1.721030 0.000002 52.604893
1.632876 0.000001 42.941124
1.562618 0.000000 36.527339
1.479325 0.000001 30.152422
1.400361 0.000001 25.139640
1.320257 0.000000 20.905287
1.235306 0.000000 17.191158
1.153718 0.000001 14.246750
1.071153 0.000001 11.780151
0.984324 0.000000 9.645452
0.900256 0.000000 7.947954
0.815537 0.000000 6.539375
0.728996 0.000001 5.357903
0.643253 0.000000 4.397971
0.557239 0.000000 3.607765
0.470647 0.000000 2.955603
0.383795 0.000000 2.419883
0.297115 0.000000 1.982051
0.210222 0.000000 1.622637
0.123488 0.000000 1.328883
0.036865 0.000000 1.088589
-0.050095 0.000000 0.891054
-0.136308 0.000000 0.730619
-0.222731 0.000001 0.598781
-0.308401 0.000001 0.491584
-0.394771 0.000001 0.402928
-0.479896 0.000001 0.331209
-0.566660 0.000001 0.271230
-0.650356 0.000001 0.223687
-0.735494 0.000001 0.183867
-0.819109 0.000002 0.151665
-0.903642 0.000004 0.124838
-0.985759 0.000004 0.103331
-1.066127 0.000004 0.085875
-1.147662 0.000019 0.071170
-1.228349 0.000010 0.059105
-1.306332 0.000017 0.049389
-1.381467 0.000018 0.041542
-1.450998 0.000022 0.035396
-1.519577 0.000030 0.030224
