# mean(lg_P), var(lg_P), mode(P)
4.133185 0.000000 13588.914063
4.114670 0.000000 13021.770089
4.086769 0.000000 12211.505259
4.054531 0.000000 11337.845780
4.020592 0.000000 10485.555118
3.964016 0.000000 9204.821068
3.931054 0.000000 8532.061544
3.893210 0.000000 7820.062268
3.854629 0.000000 7155.320124
3.828707 0.000000 6740.727865
3.801209 0.000000 6327.150395
3.768844 0.000000 5872.774643
3.719303 0.000000 5239.661411
3.677253 0.000000 4756.112178
3.610127 0.000000 4074.988214
3.547579 0.000000 3528.404846
3.476229 0.000000 2993.840274
3.430527 0.000000 2694.800019
3.393765 0.000000 2476.077917
3.335490 0.000000 2165.154171
3.271867 0.000000 1870.103877
3.208842 0.000000 1617.489159
3.153769 0.000001 1424.838848
3.097410 0.000001 1251.434859
3.040211 0.000012 1096.942439
2.983145 0.000001 961.928649
2.923744 0.000001 838.961996
2.872862 0.000000 746.209921
2.814568 0.000002 652.476312
2.761940 0.000001 578.013278
2.710590 0.000001 513.557070
2.660072 0.000001 457.161788
2.610468 0.000006 407.807282
2.563586 0.000003 366.082979
2.514195 0.000002 326.730415
2.468222 0.000003 293.910192
2.422144 0.000002 264.325678
2.380163 0.000001 239.971854
2.333459 0.000001 215.504471
2.294716 0.000013 197.099828
2.248891 0.000003 177.371447
2.212473 0.000003 163.104410
2.168247 0.000001 147.314199
2.127588 0.000007 134.144274
2.088878 0.000005 122.706189
2.043245 0.000005 110.467475
1.993233 0.000006 98.450598
1.947085 0.000007 88.525408
1.893297 0.000010 78.212106
1.837539 0.000007 68.789530
1.781197 0.000016 60.417200
1.722010 0.000010 52.721384
1.657498 0.000006 45.444739
1.590074 0.000004 38.910334
1.524210 0.000005 33.434756
1.453517 0.000006 28.412069
1.384689 0.000005 24.248091
1.294103 0.000037 19.679687
1.235805 0.000006 17.210438
1.160499 0.000009 14.470291
1.083435 0.000009 12.117530
1.004623 0.000008 10.106592
0.925640 0.000010 8.425921
0.842678 0.000011 6.960719
