# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 3.807945 0.000000 6426.066947
-1.560025 3.776796 0.000000 5981.302473
-1.520288 3.736842 0.000000 5455.593322
-1.480552 3.691874 0.000000 4918.962930
-1.440816 3.645572 0.000000 4421.515352
-1.401080 3.581475 0.000000 3814.825896
-1.361343 3.534951 0.000000 3427.290127
-1.321607 3.487695 0.000000 3073.932172
-1.281871 3.438120 0.000000 2742.327322
-1.242135 3.403095 0.000000 2529.849200
-1.202399 3.367784 0.000000 2332.292011
-1.162662 3.329112 0.000000 2133.593705
-1.122926 3.276756 0.000000 1891.276988
-1.083190 3.224741 0.000000 1677.800965
-1.043454 3.148361 0.000000 1407.214221
-1.003717 3.070687 0.000000 1176.755487
-0.963981 2.988707 0.000000 974.330101
-0.924245 2.930337 0.000000 851.797146
-0.884509 2.889217 0.000000 774.847367
-0.844773 2.828357 0.000000 673.528641
-0.805036 2.751924 0.000000 564.837474
-0.765300 2.670685 0.000000 468.472480
-0.725564 2.600346 0.000002 398.419465
-0.685828 2.540731 0.000000 347.320435
-0.646091 2.470001 0.000010 295.106410
-0.606355 2.392890 0.000001 247.108447
-0.566619 2.324033 0.000001 210.878253
-0.526883 2.250594 0.000000 178.071196
-0.487147 2.180998 0.000001 151.703570
-0.447410 2.111072 0.000000 129.142970
-0.407674 2.038325 0.000001 109.224919
-0.367938 1.971539 0.000000 93.656614
-0.328202 1.898118 0.000005 79.087159
-0.288465 1.827507 0.000003 67.220041
-0.248729 1.762562 0.000002 57.883952
-0.208993 1.694727 0.000003 49.513151
-0.169257 1.629123 0.000003 42.571254
-0.129520 1.567211 0.000002 36.915256
-0.089784 1.502158 0.000001 31.780199
-0.050048 1.441770 0.000016 27.652403
-0.010312 1.381784 0.000008 24.086031
0.029424 1.322604 0.000003 21.018289
0.069161 1.268102 0.000011 18.538604
0.108897 1.210444 0.000008 16.234006
0.148633 1.150184 0.000012 14.130436
0.188369 1.097390 0.000015 12.512823
0.228106 1.049703 0.000006 11.212148
0.267842 0.997613 0.000008 9.944792
0.307578 0.942327 0.000016 8.755671
0.347314 0.898524 0.000013 7.915801
0.387050 0.841404 0.000028 6.939668
0.426787 0.799996 0.000014 6.309047
0.466523 0.748247 0.000010 5.600465
0.506259 0.701913 0.000006 5.033837
0.545995 0.651485 0.000007 4.481978
0.585732 0.602247 0.000007 4.001565
0.625468 0.548013 0.000008 3.531791
0.665204 0.491323 0.000008 3.099589
0.704940 0.434699 0.000007 2.720705
0.744677 0.375722 0.000006 2.375239
0.784413 0.309647 0.000008 2.039994
0.824149 0.244841 0.000009 1.757198
0.863885 0.178591 0.000010 1.508579
0.903621 0.109384 0.000007 1.286375
