# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 4.083367 0.000102 12109.682904
-1.560025 4.064413 0.000084 11593.635115
-1.520288 4.034934 0.000117 10830.890657
-1.480552 4.002689 0.000101 10056.742105
-1.440816 3.970082 0.000259 9321.515672
-1.401080 3.910461 0.000135 8131.094824
-1.361343 3.878890 0.000116 7561.774895
-1.321607 3.841243 0.000168 6931.965723
-1.281871 3.805050 0.000271 6374.190588
-1.242135 3.783491 0.000098 6071.067593
-1.202399 3.754467 0.000087 5678.916020
-1.162662 3.722429 0.000091 5274.971553
-1.122926 3.669743 0.000200 4669.634812
-1.083190 3.625166 0.000119 4215.907340
-1.043454 3.555504 0.000120 3591.101633
-1.003717 3.493356 0.000130 3112.126659
-0.963981 3.427479 0.000118 2674.279879
-0.924245 3.390025 0.000087 2453.723040
-0.884509 3.352059 0.000147 2247.615744
-0.844773 3.290223 0.000112 1949.687860
-0.805036 3.223091 0.000100 1670.559803
-0.765300 3.165561 0.000113 1463.192185
-0.725564 3.112481 0.000134 1294.706054
-0.685828 3.056089 0.000179 1136.778154
-0.646091 2.999423 0.000106 998.109188
-0.606355 2.944529 0.000108 879.587663
-0.566619 2.886070 0.000092 768.877667
-0.526883 2.831370 0.000126 677.764829
-0.487147 2.779025 0.000103 600.879084
-0.447410 2.724323 0.000237 529.393382
-0.407674 2.677176 0.000154 475.140536
-0.367938 2.628386 0.000135 424.692408
-0.328202 2.580112 0.000104 380.077612
-0.288465 2.532905 0.000091 340.953943
-0.248729 2.483615 0.000193 304.207636
-0.208993 2.442157 0.000131 276.601132
-0.169257 2.400089 0.000144 251.048610
-0.129520 2.362845 0.000184 230.367986
-0.089784 2.316963 0.000171 207.285664
-0.050048 2.277037 0.000877 188.372879
-0.010312 2.240924 0.000232 173.935839
0.029424 2.206505 0.000217 160.696304
0.069161 2.165246 0.000456 145.947553
0.108897 2.114698 0.004553 127.119848
0.148633 2.090941 0.000401 123.032142
0.188369 2.054290 0.000569 112.974548
0.228106 2.013453 0.000489 102.878930
0.267842 1.972068 0.000466 93.539331
0.307578 1.932637 0.000410 85.446024
0.347314 1.886202 0.000429 76.774007
0.387050 1.836289 0.000505 68.410929
0.426787 1.786064 0.000531 60.931528
0.466523 1.725733 0.000879 52.930947
0.506259 1.671193 0.001005 46.652946
0.545995 1.615958 0.000886 41.107325
0.585732 1.558616 0.000882 36.023476
0.625468 1.497853 0.001052 31.291891
0.665204 1.442778 0.001236 27.538030
0.704940 1.358120 0.001799 22.593240
0.744677 1.287349 0.002100 19.165245
0.784413 1.225269 0.002623 16.566501
0.824149 1.167161 0.001645 14.567111
0.863885 1.086183 0.002160 12.056154
0.903621 1.016791 0.002670 10.248075
