# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 3.831826 0.000187 6782.576429
-1.560025 3.803529 0.000154 6355.873655
-1.520288 3.768213 0.000262 5856.111591
-1.480552 3.721455 0.000216 5259.664445
-1.440816 3.680980 0.000146 4793.406518
-1.401080 3.620188 0.000145 4167.295197
-1.361343 3.578825 0.000124 3789.135970
-1.321607 3.535703 0.000126 3430.943579
-1.281871 3.498969 0.000611 3144.573331
-1.242135 3.476824 0.000073 2996.781865
-1.202399 3.449706 0.000074 2815.366729
-1.162662 3.410471 0.000084 2572.042501
-1.122926 3.358926 0.000097 2284.038056
-1.083190 3.301503 0.000104 2001.081649
-1.043454 3.221103 0.000157 1662.427573
-1.003717 3.146590 0.000121 1400.587743
-0.963981 3.079111 0.000129 1198.982332
-0.924245 3.045073 0.000076 1108.915682
-0.884509 3.004420 0.000128 1009.541761
-0.844773 2.928388 0.000098 847.545075
-0.805036 2.849880 0.000107 707.348770
-0.765300 2.783609 0.000168 607.047022
-0.725564 2.734702 0.000111 542.558718
-0.685828 2.662493 0.000100 459.475395
-0.646091 2.592981 0.000132 391.451546
-0.606355 2.531295 0.000116 339.646445
-0.566619 2.464259 0.000119 291.062483
-0.526883 2.395162 0.000118 248.250300
-0.487147 2.334675 0.000105 215.990219
-0.447410 2.269007 0.000133 185.652417
-0.407674 2.204140 0.000138 159.890118
-0.367938 2.137023 0.001502 136.007619
-0.328202 2.081558 0.000134 120.572878
-0.288465 2.013496 0.000159 103.069535
-0.248729 1.955553 0.000791 89.894093
-0.208993 1.895797 0.000177 78.594013
-0.169257 1.851400 0.001052 70.627992
-0.129520 1.781220 0.000641 60.220455
-0.089784 1.742492 0.001020 54.972201
-0.050048 1.672654 0.000762 46.870462
-0.010312 1.632205 0.001343 42.570804
0.029424 1.567453 0.000205 36.896035
0.069161 1.521835 0.002171 32.872779
0.108897 1.475718 0.002681 29.481248
0.148633 1.424017 0.001612 26.321094
0.188369 1.375252 0.000389 23.678634
0.228106 1.338118 0.001630 21.595553
0.267842 1.279951 0.000467 19.005331
0.307578 1.237026 0.000511 17.212674
0.347314 1.190578 0.000642 15.456060
0.387050 1.141751 0.000686 13.809281
0.426787 1.093552 0.000802 12.351061
0.466523 1.043277 0.000878 10.996517
0.506259 0.991959 0.000842 9.772852
0.545995 0.936397 0.000813 8.600532
0.585732 0.879090 0.000855 7.535673
0.625468 0.813104 0.001130 6.464016
0.665204 0.748419 0.001536 5.557536
0.704940 0.699477 0.001355 4.970011
0.744677 0.620115 0.001321 4.140701
0.784413 0.545981 0.001771 3.482600
0.824149 0.481644 0.002044 2.998735
0.863885 0.407487 0.002096 2.527319
0.903621 0.330540 0.002991 2.106943
