# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 3.194916 0.000070 1565.869966
-1.560025 3.150291 0.000070 1412.960843
-1.520288 3.095819 0.000069 1246.406257
-1.480552 3.037265 0.000066 1089.214492
-1.440816 2.977129 0.000072 948.336669
-1.401080 2.909800 0.000092 812.059810
-1.361343 2.863643 0.000088 730.197858
-1.321607 2.817162 0.000095 656.058960
-1.281871 2.784895 0.000072 609.156685
-1.242135 2.756288 0.000074 570.319142
-1.202399 2.728871 0.000092 535.377518
-1.162662 2.686849 0.000117 485.936904
-1.122926 2.616493 0.000095 413.307113
-1.083190 2.528135 0.000119 337.179858
-1.043454 2.425300 0.000108 266.103650
-1.003717 2.346710 0.000132 222.027270
-0.963981 2.300733 0.000109 199.747494
-0.924245 2.265060 0.000081 184.023897
-0.884509 2.231681 0.000063 170.425989
-0.844773 2.104193 0.000117 127.035243
-0.805036 2.005837 0.000140 101.277605
-0.765300 1.951959 0.000113 89.474511
-0.725564 1.899984 0.000112 79.382927
-0.685828 1.796683 0.000153 62.564868
-0.646091 1.713368 0.000137 51.647925
-0.606355 1.647804 0.000115 44.415955
-0.566619 1.558743 0.000097 36.184220
-0.526883 1.475391 0.000091 29.866378
-0.487147 1.397994 0.000234 24.972051
-0.447410 1.310580 0.000101 20.433705
-0.407674 1.227238 0.000127 16.863368
-0.367938 1.142066 0.000156 13.858219
-0.328202 1.057862 0.000153 11.415877
-0.288465 0.966641 0.000126 9.254425
-0.248729 0.882631 0.000178 7.624671
-0.208993 0.796852 0.000117 6.260117
-0.169257 0.708981 0.000131 5.113053
-0.129520 0.626126 0.000144 4.224686
-0.089784 0.537855 0.000141 3.447711
-0.050048 0.443368 0.000121 2.773897
-0.010312 0.360169 0.000170 2.289694
0.029424 0.271620 0.000148 1.867581
0.069161 0.180672 0.000160 1.514616
0.108897 0.095470 0.000177 1.244697
0.148633 0.007362 0.000178 1.016134
0.188369 -0.081486 0.000187 0.828100
0.228106 -0.167724 0.000217 0.678854
0.267842 -0.254492 0.000242 0.555842
0.307578 -0.341719 0.000288 0.454587
0.347314 -0.428634 0.000312 0.372090
0.387050 -0.516721 0.000399 0.303641
0.426787 -0.603455 0.000457 0.248595
0.466523 -0.675812 0.000478 0.210420
0.506259 -0.769980 0.000444 0.169433
0.545995 -0.859382 0.000647 0.137762
0.585732 -0.944487 0.000849 0.113125
0.625468 -1.021493 0.001235 0.094551
0.665204 -1.122658 0.001628 0.074747
0.704940 -1.185576 0.001063 0.064860
0.744677 -1.255063 0.001567 0.055122
0.784413 -1.366372 0.002106 0.042538
0.824149 -1.450845 0.002295 0.034984
0.863885 -1.513662 0.002219 0.030285
0.903621 -1.588097 0.002493 0.025478
