# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 3.283657 0.000000 1921.573024
-1.560025 3.270279 0.000000 1863.282654
-1.520288 3.250101 0.000000 1778.690887
-1.480552 3.226546 0.000000 1684.790615
-1.440816 3.200026 0.000000 1584.988409
-1.401080 3.163800 0.000000 1458.142045
-1.361343 3.135639 0.000000 1366.591180
-1.321607 3.106569 0.000000 1278.112966
-1.281871 3.078211 0.000000 1197.321025
-1.242135 3.056179 0.000000 1138.096729
-1.202399 3.032118 0.000000 1076.757578
-1.162662 3.001722 0.000000 1003.973480
-1.122926 2.959713 0.000000 911.407594
-1.083190 2.912972 0.000000 818.412149
-1.043454 2.851282 0.000000 710.038106
-1.003717 2.792344 0.000000 619.930924
-0.963981 2.736039 0.000000 544.551407
-0.924245 2.696985 0.000000 497.720127
-0.884509 2.657988 0.000000 454.975314
-0.844773 2.595303 0.000000 393.824826
-0.805036 2.522548 0.000000 333.079351
-0.765300 2.461198 0.000000 289.199820
-0.725564 2.410044 0.000000 257.065401
-0.685828 2.347093 0.000000 222.378456
-0.646091 2.273384 0.000000 187.664982
-0.606355 2.213497 0.000000 163.491830
-0.566619 2.146881 0.000000 140.242576
-0.526883 2.072658 0.000000 118.210913
-0.487147 2.012004 0.000000 102.802541
-0.447410 1.939314 0.000000 86.958794
-0.407674 1.871664 0.000000 74.415490
-0.367938 1.802007 0.000000 63.387945
-0.328202 1.734226 0.000000 54.228264
-0.288465 1.661986 0.000000 45.918311
-0.248729 1.593265 0.000000 39.198110
-0.208993 1.524721 0.000000 33.474974
-0.169257 1.457231 0.000000 28.657030
-0.129520 1.389687 0.000000 24.529394
-0.089784 1.322902 0.000000 21.033039
-0.050048 1.257231 0.000000 18.081360
-0.010312 1.191736 0.000000 15.550182
0.029424 1.128381 0.000000 13.439424
0.069161 1.065529 0.000000 11.628630
0.108897 1.004059 0.000001 10.093880
0.148633 0.944158 0.000000 8.793403
0.188369 0.886063 0.000000 7.692406
0.228106 0.828680 0.000000 6.740302
0.267842 0.773144 0.000000 5.931210
0.307578 0.719668 0.000001 5.244050
0.347314 0.666597 0.000001 4.640821
0.387050 0.614837 0.000001 4.119408
0.426787 0.562720 0.000001 3.653573
0.466523 0.512860 0.000001 3.257299
0.506259 0.462756 0.000001 2.902378
0.545995 0.413317 0.000001 2.590091
0.585732 0.363785 0.000001 2.310906
0.625468 0.313993 0.000001 2.060584
0.665204 0.264189 0.000002 1.837323
0.704940 0.211202 0.000002 1.626288
0.744677 0.158451 0.000002 1.440278
0.784413 0.103644 0.000003 1.269515
0.824149 0.046640 0.000004 1.113346
0.863885 -0.011840 0.000006 0.973077
0.903621 -0.072155 0.000007 0.846894
