# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 3.401502 0.000000 2520.585999
-1.560025 3.388940 0.000000 2448.719475
-1.520288 3.369705 0.000001 2342.630499
-1.480552 3.346831 0.000000 2222.437238
-1.440816 3.321491 0.000001 2096.474242
-1.401080 3.285003 0.000001 1927.532664
-1.361343 3.257818 0.000000 1810.578379
-1.321607 3.229282 0.000001 1695.434119
-1.281871 3.200374 0.000000 1586.254511
-1.242135 3.178757 0.000000 1509.232419
-1.202399 3.154464 0.000000 1427.129015
-1.162662 3.124797 0.000000 1332.894297
-1.122926 3.083246 0.000001 1211.281293
-1.083190 3.039707 0.000000 1095.736233
-1.043454 2.980051 0.000001 955.100546
-1.003717 2.922587 0.000001 836.729982
-0.963981 2.864925 0.000001 732.695002
-0.924245 2.825488 0.000000 669.094557
-0.884509 2.787605 0.000001 613.202298
-0.844773 2.727415 0.000001 533.842896
-0.805036 2.658093 0.000001 455.083093
-0.765300 2.596283 0.000001 394.712806
-0.725564 2.545282 0.000000 350.978555
-0.685828 2.482390 0.000004 303.654915
-0.646091 2.415216 0.000001 260.143272
-0.606355 2.354978 0.000001 226.452275
-0.566619 2.291270 0.000002 195.553729
-0.526883 2.219755 0.000000 165.864664
-0.487147 2.162188 0.000001 145.273456
-0.447410 2.093010 0.000001 123.882041
-0.407674 2.028233 0.000001 106.716619
-0.367938 1.962621 0.000001 91.752619
-0.328202 1.898626 0.000001 79.181662
-0.288465 1.830135 0.000000 67.629115
-0.248729 1.766852 0.000001 58.458888
-0.208993 1.703070 0.000001 50.474085
-0.169257 1.640823 0.000001 43.734240
-0.129520 1.577865 0.000002 37.832151
-0.089784 1.517934 0.000001 32.955788
-0.050048 1.457690 0.000001 28.687239
-0.010312 1.398899 0.000002 25.055020
0.029424 1.341612 0.000001 21.958883
0.069161 1.285711 0.000001 19.306682
0.108897 1.230360 0.000003 16.996192
0.148633 1.177566 0.000002 15.050872
0.188369 1.126320 0.000002 13.375683
0.228106 1.075669 0.000002 11.903256
0.267842 1.026199 0.000002 10.621722
0.307578 0.977692 0.000003 9.499161
0.347314 0.929679 0.000003 8.504956
0.387050 0.882205 0.000004 7.624230
0.426787 0.835811 0.000006 6.851679
0.466523 0.788380 0.000006 6.142807
0.506259 0.741440 0.000004 5.513531
0.545995 0.692625 0.000005 4.927355
0.585732 0.643507 0.000006 4.400405
0.625468 0.591565 0.000007 3.904353
0.665204 0.541184 0.000010 3.476645
0.704940 0.484148 0.000012 3.048738
0.744677 0.422955 0.000009 2.648097
0.784413 0.361922 0.000013 2.300865
0.824149 0.300135 0.000018 1.995689
0.863885 0.229597 0.000021 1.696479
0.903621 0.162137 0.000022 1.452402
