# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 4.414989 0.000001 26000.800277
-1.560025 4.405407 0.000001 25433.434422
-1.520288 4.386381 0.000001 24343.242313
-1.480552 4.363071 0.000001 23071.099148
-1.440816 4.339778 0.000002 21866.254628
-1.401080 4.287147 0.000002 19370.611852
-1.361343 4.265256 0.000001 18418.454023
-1.321607 4.235711 0.000001 17207.126531
-1.281871 4.205463 0.000001 16049.444492
-1.242135 4.186435 0.000001 15361.460670
-1.202399 4.161485 0.000002 14503.741167
-1.162662 4.131967 0.000001 13550.773643
-1.122926 4.078272 0.000002 11974.761386
-1.083190 4.042968 0.000002 11039.867679
-1.043454 3.981864 0.000002 9590.909395
-1.003717 3.934652 0.000002 8602.970223
-0.963981 3.875176 0.000002 7501.904048
-0.924245 3.840322 0.000001 6923.398423
-0.884509 3.804343 0.000002 6372.931719
-0.844773 3.742743 0.000002 5530.169348
-0.805036 3.692983 0.000002 4931.494200
-0.765300 3.647664 0.000001 4442.844633
-0.725564 3.602238 0.000002 4001.591827
-0.685828 3.552515 0.000002 3568.694199
-0.646091 3.508294 0.000002 3223.211183
-0.606355 3.466925 0.000002 2930.346654
-0.566619 3.417781 0.000002 2616.834488
-0.526883 3.384157 0.000002 2421.879045
-0.487147 3.336245 0.000003 2168.899856
-0.447410 3.300303 0.000002 1996.633000
-0.407674 3.261888 0.000002 1827.605723
-0.367938 3.224830 0.000003 1678.121884
-0.328202 3.189035 0.000003 1545.349587
-0.288465 3.154898 0.000004 1428.527581
-0.248729 3.119806 0.000005 1317.632300
-0.208993 3.087050 0.000006 1221.903022
-0.169257 3.054263 0.000007 1133.046073
-0.129520 3.019529 0.000007 1045.953322
-0.089784 2.981949 0.000009 959.241948
-0.050048 2.944358 0.000011 879.696412
-0.010312 2.906798 0.000011 806.812648
0.029424 2.863700 0.000014 730.577666
0.069161 2.819915 0.000023 660.485074
0.108897 2.774194 0.000022 594.487477
0.148633 2.725169 0.000026 531.019316
0.188369 2.676704 0.000026 474.947211
0.228106 2.622090 0.000026 418.823305
0.267842 2.567728 0.000030 369.538228
0.307578 2.511923 0.000037 324.966798
0.347314 2.458922 0.000062 287.593399
0.387050 2.389942 0.000062 245.357072
0.426787 2.335233 0.000099 216.273777
0.466523 2.268968 0.000118 185.650063
0.506259 2.206161 0.000141 160.633780
0.545995 2.139261 0.000137 137.703352
0.585732 2.060883 0.000122 114.974436
0.625468 2.000370 0.000177 99.991292
0.665204 1.910705 0.000128 81.359924
0.704940 1.827401 0.000082 67.175539
0.744677 1.748407 0.000072 56.006938
0.784413 1.675658 0.000087 47.365037
0.824149 1.600863 0.000111 39.866370
0.863885 1.525854 0.000147 33.536312
0.903621 1.450953 0.000217 28.213265
