# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 3.889231 0.000000 7748.733802
-1.560025 3.866375 0.000000 7351.483690
-1.520288 3.834020 0.000000 6823.690961
-1.480552 3.797293 0.000000 6270.361500
-1.440816 3.759200 0.000000 5743.808531
-1.401080 3.703560 0.000000 5053.116506
-1.361343 3.667356 0.000000 4648.958841
-1.321607 3.629929 0.000000 4265.091758
-1.281871 3.593283 0.000000 3919.968883
-1.242135 3.569323 0.000000 3709.562950
-1.202399 3.543780 0.000000 3497.672217
-1.162662 3.511189 0.000000 3244.802892
-1.122926 3.460212 0.000000 2885.434470
-1.083190 3.408833 0.000000 2563.493119
-1.043454 3.333536 0.000000 2155.439100
-1.003717 3.265655 0.000000 1843.548667
-0.963981 3.198507 0.000000 1579.451963
-0.924245 3.161055 0.000000 1448.952567
-0.884509 3.125218 0.000000 1334.188087
-0.844773 3.058206 0.000000 1143.418067
-0.805036 2.980606 0.000000 956.324245
-0.765300 2.916866 0.000000 825.782842
-0.725564 2.866681 0.000000 735.665920
-0.685828 2.805418 0.000000 638.877588
-0.646091 2.735022 0.000000 543.277190
-0.606355 2.676062 0.000000 474.308552
-0.566619 2.612703 0.000000 409.923150
-0.526883 2.546380 0.000000 351.867578
-0.487147 2.488124 0.000000 307.697417
-0.447410 2.425982 0.000000 266.674680
-0.407674 2.365559 0.000000 232.037492
-0.367938 2.307316 0.000000 202.915587
-0.328202 2.248383 0.000000 177.166909
-0.288465 2.188254 0.000001 154.259970
-0.248729 2.132684 0.000000 135.732301
-0.208993 2.077254 0.000001 119.468329
-0.169257 2.024636 0.000001 105.836281
-0.129520 1.971935 0.000001 93.741950
-0.089784 1.920374 0.000000 83.247755
-0.050048 1.871039 0.000001 74.308419
-0.010312 1.822580 0.000000 66.462799
0.029424 1.776061 0.000001 59.711765
0.069161 1.729394 0.000000 53.628211
0.108897 1.683978 0.000001 48.303317
0.148633 1.640170 0.000002 43.668280
0.188369 1.595382 0.000002 39.389208
0.228106 1.550924 0.000002 35.556525
0.267842 1.504747 0.000001 31.970143
0.307578 1.458697 0.000001 28.753713
0.347314 1.411658 0.000001 25.802134
0.387050 1.362519 0.000001 23.041786
0.426787 1.312150 0.000001 20.518541
0.466523 1.258420 0.000001 18.130807
0.506259 1.202721 0.000001 15.948449
0.545995 1.144123 0.000005 13.935170
0.585732 1.082947 0.000005 12.104199
0.625468 1.018676 0.000004 10.439196
0.665204 0.953012 0.000003 8.974418
0.704940 0.884161 0.000003 7.658697
0.744677 0.812053 0.000003 6.487032
0.784413 0.738744 0.000004 5.479430
0.824149 0.665042 0.000005 4.624147
0.863885 0.587447 0.000004 3.867568
0.903621 0.509916 0.000006 3.235218
