# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 3.635980 0.000026 4324.345941
-1.560025 3.606836 0.000015 4043.899389
-1.520288 3.566404 0.000019 3684.347566
-1.480552 3.522831 0.000015 3332.706018
-1.440816 3.474246 0.000019 2979.913409
-1.401080 3.413982 0.000020 2593.802269
-1.361343 3.369577 0.000018 2341.722858
-1.321607 3.321907 0.000026 2098.196314
-1.281871 3.277627 0.000021 1894.867766
-1.242135 3.243562 0.000019 1751.934910
-1.202399 3.212324 0.000027 1630.276535
-1.162662 3.173014 0.000019 1489.260356
-1.122926 3.121748 0.000042 1323.279662
-1.083190 3.052534 0.000037 1128.362060
-1.043454 2.975957 0.000030 945.993433
-1.003717 2.889763 0.000026 775.716466
-0.963981 2.819283 0.000027 659.508588
-0.924245 2.773687 0.000015 593.818111
-0.884509 2.734133 0.000023 542.100417
-0.844773 2.665998 0.000026 463.380814
-0.805036 2.571822 0.000032 373.034708
-0.765300 2.494315 0.000026 312.072806
-0.725564 2.447104 0.000027 279.925290
-0.685828 2.373761 0.000029 236.425044
-0.646091 2.286425 0.000038 193.346872
-0.606355 2.221938 0.000035 166.669924
-0.566619 2.149002 0.000028 140.908450
-0.526883 2.058848 0.000047 114.482827
-0.487147 2.000076 0.000027 100.002971
-0.447410 1.920269 0.000031 83.214087
-0.407674 1.845312 0.000059 70.012453
-0.367938 1.770926 0.000027 59.001661
-0.328202 1.696889 0.000041 49.750212
-0.288465 1.618419 0.000057 41.522875
-0.248729 1.545949 0.000049 35.142782
-0.208993 1.473764 0.000043 29.762184
-0.169257 1.400880 0.000036 25.165083
-0.129520 1.330226 0.000040 21.386178
-0.089784 1.258950 0.000046 18.148665
-0.050048 1.188760 0.000039 15.440836
-0.010312 1.119917 0.000040 13.177257
0.029424 1.053006 0.000033 11.296141
0.069161 0.985494 0.000044 9.669249
0.108897 0.920626 0.000063 8.326848
0.148633 0.857268 0.000060 7.196646
0.188369 0.799316 0.000042 6.298232
0.228106 0.738113 0.000041 5.470386
0.267842 0.676006 0.000075 4.740610
0.307578 0.619075 0.000078 4.158091
0.347314 0.565324 0.000060 3.674384
0.387050 0.509143 0.000092 3.227986
0.426787 0.456113 0.000090 2.856974
0.466523 0.405516 0.000113 2.542474
0.506259 0.355559 0.000083 2.266562
0.545995 0.306390 0.000120 2.023547
0.585732 0.245231 0.000257 1.756467
0.625468 0.190218 0.000270 1.547379
0.665204 0.138090 0.000361 1.371698
0.704940 0.084185 0.000327 1.211805
0.744677 0.036129 0.000391 1.084498
0.784413 -0.029877 0.000409 0.931497
0.824149 -0.079775 0.000492 0.830026
0.863885 -0.137332 0.000468 0.727093
0.903621 -0.191746 0.000568 0.641132
