# lg_k, mean(lg_P), var(lg_P), mode(P)
-0.599761 3.238418 0.000003 1731.459575
-0.574489 3.172649 0.000003 1488.136047
-0.549218 3.118520 0.000004 1313.743084
-0.523946 3.174451 0.000010 1494.265851
-0.498675 3.123537 0.000003 1329.015199
-0.473403 3.090497 0.000007 1231.627787
-0.448131 3.002641 0.000005 1006.072664
-0.422860 2.952783 0.000005 896.956218
-0.397588 2.974691 0.000005 943.363359
-0.372317 2.962336 0.000009 916.886029
-0.347045 2.945081 0.000009 881.170720
-0.321774 2.887183 0.000015 771.166044
-0.296502 2.825452 0.000006 669.017267
-0.271230 2.837628 0.000007 688.036837
-0.245959 2.847179 0.000033 703.240222
-0.220687 2.796367 0.000023 625.624491
-0.195416 2.774770 0.000014 595.303635
-0.170144 2.753954 0.000025 567.410226
-0.144872 2.731200 0.000019 538.462406
-0.119601 2.679131 0.000028 477.602891
-0.094329 2.679086 0.000023 477.565407
-0.069058 2.651001 0.000048 447.599773
-0.043786 2.652010 0.000037 448.667096
-0.018515 2.612573 0.000085 409.617012
0.006757 2.596644 0.000144 394.740517
0.032029 2.558819 0.000128 361.845870
0.057300 2.514938 0.000126 327.075029
0.082572 2.487503 0.000108 307.082296
0.107843 2.473978 0.000114 297.656402
0.133115 2.440182 0.000102 275.389042
0.158386 2.420010 0.000130 262.852501
0.183658 2.397819 0.000208 249.654454
0.208930 2.347843 0.000190 222.537985
0.234201 2.315519 0.000236 206.526871
0.259473 2.271898 0.000192 186.833931
0.284744 2.233819 0.000266 171.082708
0.310016 2.198242 0.000347 157.559146
0.335288 2.157103 0.000442 143.247034
0.360559 2.109416 0.000526 128.293538
0.385831 2.057112 0.000508 113.747708
0.411102 2.023637 0.000488 105.320777
0.436374 1.971624 0.000451 93.451365
0.461645 1.926878 0.000386 84.331580
0.486917 1.876326 0.000423 75.050190
0.512189 1.828066 0.000829 67.012671
0.537460 1.773277 0.000711 59.107018
0.562732 1.767821 0.000620 58.397396
0.588003 1.715225 0.000602 51.741355
0.613275 1.654564 0.000823 44.943658
0.638546 1.599355 0.000902 39.562106
0.663818 1.561876 0.001010 36.270273
0.689090 1.507977 0.001030 32.033658
0.714361 1.470988 0.001046 29.415639
0.739633 1.425037 0.001058 26.460682
0.764904 1.377159 0.000929 23.714823
0.790176 1.357235 0.000742 22.673946
0.815447 1.299838 0.000935 19.846583
0.840719 1.246409 0.001250 17.519813
0.865991 1.188764 0.001873 15.291538
0.891262 1.149228 0.001342 14.000344
0.916534 1.107620 0.001394 12.717765
0.941805 1.063901 0.001842 11.472545
0.967077 1.014076 0.001619 10.241133
0.992349 0.967005 0.001457 9.197081
