# lg_k, mean(lg_P), var(lg_P), mode(P)
-0.599761 2.441487 0.000000 276.366877
-0.574489 2.414378 0.000000 259.643272
-0.549218 2.419763 0.000003 262.879112
-0.523946 2.369589 0.000002 234.199188
-0.498675 2.287284 0.000001 193.767828
-0.473403 2.267130 0.000003 184.979237
-0.448131 2.213815 0.000001 163.611249
-0.422860 2.130996 0.000001 135.205038
-0.397588 2.117244 0.000000 130.991483
-0.372317 2.051582 0.000001 112.610714
-0.347045 2.043639 0.000002 110.569286
-0.321774 2.001456 0.000001 100.335274
-0.296502 1.958621 0.000003 90.910532
-0.271230 1.934259 0.000001 85.952190
-0.245959 1.843172 0.000003 69.689230
-0.220687 1.833549 0.000002 68.162184
-0.195416 1.810096 0.000006 64.577531
-0.170144 1.749767 0.000004 56.202856
-0.144872 1.722713 0.000005 52.808320
-0.119601 1.699440 0.000003 50.053440
-0.094329 1.648395 0.000002 44.503140
-0.069058 1.617170 0.000003 41.415495
-0.043786 1.587520 0.000006 38.681863
-0.018515 1.569613 0.000008 37.118964
0.006757 1.530899 0.000006 33.953527
0.032029 1.473820 0.000012 29.771009
0.057300 1.441877 0.000009 27.660258
0.082572 1.413420 0.000012 25.905580
0.107843 1.392363 0.000016 24.678965
0.133115 1.332890 0.000018 21.520315
0.158386 1.315578 0.000023 20.678783
0.183658 1.285759 0.000032 19.305715
0.208930 1.256183 0.000045 18.033469
0.234201 1.207152 0.000061 16.106932
0.259473 1.186947 0.000080 15.373153
0.284744 1.167577 0.000085 14.702160
0.310016 1.132959 0.000100 13.574620
0.335288 1.103477 0.000056 12.686648
0.360559 1.079245 0.000107 11.994936
0.385831 1.049316 0.000170 11.192418
0.411102 1.027686 0.000143 10.650154
0.436374 0.996210 0.000124 9.906564
0.461645 0.965595 0.000128 9.232107
0.486917 0.935913 0.000073 8.624731
0.512189 0.902072 0.000219 7.972024
0.537460 0.877912 0.000171 7.542548
0.562732 0.850492 0.000149 7.081882
0.588003 0.818669 0.000439 6.571414
0.613275 0.781235 0.000360 6.031235
0.638546 0.743322 0.000324 5.528094
0.663818 0.701680 0.000461 5.019015
0.689090 0.659015 0.000411 4.550598
0.714361 0.622698 0.000371 4.186426
0.739633 0.578713 0.000358 3.783463
0.764904 0.538864 0.000438 3.450296
0.790176 0.502521 0.000627 3.170138
0.815447 0.466004 0.000628 2.914454
0.840719 0.417355 0.000707 2.604517
0.865991 0.371195 0.000466 2.344890
0.891262 0.332340 0.000616 2.142507
0.916534 0.279363 0.000594 1.896685
0.941805 0.231392 0.000517 1.699028
0.967077 0.186704 0.000501 1.533032
0.992349 0.142641 0.000517 1.385005
