# lg_k, mean(lg_P), var(lg_P), mode(P)
-0.599761 2.738690 0.000002 547.880601
-0.574489 2.699084 0.000002 500.126845
-0.549218 2.688072 0.000003 487.602548
-0.523946 2.656902 0.000007 453.821575
-0.498675 2.600227 0.000002 398.311489
-0.473403 2.585454 0.000002 384.990719
-0.448131 2.522309 0.000001 332.894465
-0.422860 2.451187 0.000002 282.607230
-0.397588 2.437851 0.000002 274.060731
-0.372317 2.387537 0.000002 244.080024
-0.347045 2.371702 0.000002 235.340604
-0.321774 2.317571 0.000002 207.762564
-0.296502 2.305870 0.000004 202.236873
-0.271230 2.289750 0.000003 194.869361
-0.245959 2.199730 0.000004 158.387733
-0.220687 2.189263 0.000004 154.615991
-0.195416 2.172649 0.000006 148.811157
-0.170144 2.109133 0.000004 128.564982
-0.144872 2.078831 0.000005 119.900207
-0.119601 2.040023 0.000004 109.651364
-0.094329 2.039888 0.000008 109.614671
-0.069058 1.975808 0.000005 94.579530
-0.043786 1.966464 0.000007 92.565176
-0.018515 1.953352 0.000006 89.812622
0.006757 1.931150 0.000009 85.335499
0.032029 1.887414 0.000014 77.158302
0.057300 1.869710 0.000012 74.076726
0.082572 1.837678 0.000015 68.808809
0.107843 1.824164 0.000016 66.700256
0.133115 1.775248 0.000018 59.594592
0.158386 1.760751 0.000025 57.635859
0.183658 1.743487 0.000027 55.389146
0.208930 1.715727 0.000035 51.957378
0.234201 1.682935 0.000051 48.174512
0.259473 1.658439 0.000075 45.526710
0.284744 1.628907 0.000076 42.533583
0.310016 1.597807 0.000096 39.590028
0.335288 1.566315 0.000047 36.830420
0.360559 1.543613 0.000076 34.949333
0.385831 1.507454 0.000128 32.148363
0.411102 1.468330 0.000126 29.379184
0.436374 1.434144 0.000111 27.157355
0.461645 1.401676 0.000094 25.203425
0.486917 1.358222 0.000057 22.808243
0.512189 1.324905 0.000185 21.109556
0.537460 1.283307 0.000104 19.189679
0.562732 1.233350 0.000113 17.103714
0.588003 1.192437 0.000360 15.545581
0.613275 1.156495 0.000255 14.318800
0.638546 1.111017 0.000253 12.895420
0.663818 1.066735 0.000229 11.646825
0.689090 1.021697 0.000208 10.500709
0.714361 0.979140 0.000221 9.519869
0.739633 0.930767 0.000217 8.516628
0.764904 0.884195 0.000198 7.651385
0.790176 0.841333 0.000321 6.927784
0.815447 0.790662 0.000337 6.164337
0.840719 0.736021 0.000540 5.429712
0.865991 0.695744 0.000346 4.953892
0.891262 0.642140 0.000289 4.380015
0.916534 0.587477 0.000287 3.862035
0.941805 0.532345 0.000313 3.401146
0.967077 0.480384 0.000260 3.018463
0.992349 0.427945 0.000249 2.675300
