# lg_k, mean(lg_P), var(lg_P), mode(P)
-0.599761 2.293346 0.000001 196.491282
-0.574489 2.271887 0.000001 187.018169
-0.549218 2.276267 0.000002 188.913305
-0.523946 2.221577 0.000002 166.561110
-0.498675 2.130460 0.000001 135.038425
-0.473403 2.108989 0.000001 128.524765
-0.448131 2.063694 0.000001 115.795761
-0.422860 1.975799 0.000001 94.579144
-0.397588 1.960622 0.000001 91.331291
-0.372317 1.892267 0.000001 78.030478
-0.347045 1.890057 0.000001 77.634245
-0.321774 1.850088 0.000001 70.808435
-0.296502 1.791382 0.000003 61.855126
-0.271230 1.765968 0.000003 58.339373
-0.245959 1.684921 0.000001 48.408236
-0.220687 1.671420 0.000002 46.926258
-0.195416 1.640848 0.000002 43.736527
-0.170144 1.585335 0.000001 38.488591
-0.144872 1.555871 0.000002 35.963769
-0.119601 1.534359 0.000002 34.225841
-0.094329 1.463243 0.000002 29.056113
-0.069058 1.446888 0.000003 27.982217
-0.043786 1.402963 0.000003 25.290439
-0.018515 1.371220 0.000005 23.507598
0.006757 1.336997 0.000003 21.726509
0.032029 1.278115 0.000004 18.971673
0.057300 1.237252 0.000004 17.268053
0.082572 1.211038 0.000006 16.256421
0.107843 1.182914 0.000004 15.237164
0.133115 1.134048 0.000004 13.615658
0.158386 1.108367 0.000005 12.833784
0.183658 1.078947 0.000008 11.993029
0.208930 1.041490 0.000008 11.001967
0.234201 0.996914 0.000008 9.928784
0.259473 0.978025 0.000012 9.506001
0.284744 0.947794 0.000016 8.866630
0.310016 0.913445 0.000019 8.192200
0.335288 0.882697 0.000019 7.632280
0.360559 0.852368 0.000021 7.117383
0.385831 0.823594 0.000020 6.661119
0.411102 0.791369 0.000028 6.184517
0.436374 0.759208 0.000028 5.743070
0.461645 0.726615 0.000028 5.327815
0.486917 0.694861 0.000013 4.952561
0.512189 0.668753 0.000039 4.662987
0.537460 0.642380 0.000039 4.388238
0.562732 0.603986 0.000045 4.016823
0.588003 0.568530 0.000054 3.701745
0.613275 0.542443 0.000067 3.485681
0.638546 0.509323 0.000077 3.229573
0.663818 0.474712 0.000122 2.981472
0.689090 0.438262 0.000128 2.741364
0.714361 0.402954 0.000140 2.527160
0.739633 0.363416 0.000115 2.307542
0.764904 0.310700 0.000067 2.044309
0.790176 0.286409 0.000158 1.932173
0.815447 0.252959 0.000222 1.788335
0.840719 0.210761 0.000295 1.622120
0.865991 0.166299 0.000283 1.464359
0.891262 0.124415 0.000257 1.329915
0.916534 0.081279 0.000257 1.204165
0.941805 0.033304 0.000353 1.077686
0.967077 -0.011222 0.000245 0.973227
0.992349 -0.065745 0.000254 0.858360
