# lg_k, mean(lg_P), var(lg_P), mode(P)
-0.599761 2.861546 0.000001 727.015525
-0.574489 2.817673 0.000001 657.159180
-0.549218 2.805685 0.000001 639.267878
-0.523946 2.778655 0.000000 600.695770
-0.498675 2.728994 0.000001 535.785835
-0.473403 2.721155 0.000002 526.199792
-0.448131 2.655222 0.000001 452.085201
-0.422860 2.590558 0.000001 389.542440
-0.397588 2.578140 0.000001 378.562471
-0.372317 2.535573 0.000001 343.218462
-0.347045 2.522882 0.000000 333.335498
-0.321774 2.463184 0.000001 290.523740
-0.296502 2.454650 0.000003 284.867275
-0.271230 2.447537 0.000004 280.238823
-0.245959 2.369503 0.000001 234.154233
-0.220687 2.349360 0.000002 223.539717
-0.195416 2.338784 0.000003 218.161002
-0.170144 2.281642 0.000003 191.264777
-0.144872 2.253632 0.000003 179.318477
-0.119601 2.201874 0.000002 159.172787
-0.094329 2.218692 0.000004 165.455987
-0.069058 2.148740 0.000003 140.842273
-0.043786 2.143640 0.000005 139.196582
-0.018515 2.111356 0.000006 129.223345
0.006757 2.096460 0.000006 124.866431
0.032029 2.063192 0.000010 115.656335
0.057300 2.051951 0.000009 112.701876
0.082572 2.017593 0.000011 104.128048
0.107843 1.997936 0.000013 99.518933
0.133115 1.954265 0.000016 89.996945
0.158386 1.940416 0.000019 87.171259
0.183658 1.916564 0.000028 82.508881
0.208930 1.886542 0.000034 76.995131
0.234201 1.853359 0.000048 71.326081
0.259473 1.834173 0.000070 68.235618
0.284744 1.796505 0.000062 62.569292
0.310016 1.770946 0.000080 58.987616
0.335288 1.732392 0.000041 53.988018
0.360559 1.698116 0.000066 49.884482
0.385831 1.675071 0.000106 47.296232
0.411102 1.666591 0.000145 46.372147
0.436374 1.605889 0.000082 40.336585
0.461645 1.564996 0.000065 36.715251
0.486917 1.510524 0.000048 32.390169
0.512189 1.465254 0.000195 29.161178
0.537460 1.436640 0.000129 27.311368
0.562732 1.391970 0.000134 24.641172
0.588003 1.351474 0.000425 22.412753
0.613275 1.319207 0.000364 20.814603
0.638546 1.260531 0.000190 18.200895
0.663818 1.223128 0.000228 16.695639
0.689090 1.178742 0.000210 15.075042
0.714361 1.127455 0.000235 13.394111
0.739633 1.067671 0.000220 11.672522
0.764904 1.009339 0.000219 10.205499
0.790176 0.951843 0.000345 8.934033
0.815447 0.918319 0.000437 8.266317
0.840719 0.858445 0.000400 7.203162
0.865991 0.807675 0.000340 6.410483
0.891262 0.759445 0.000311 5.737569
0.916534 0.712739 0.000271 5.153656
0.941805 0.653923 0.000279 4.500713
0.967077 0.596662 0.000269 3.944947
0.992349 0.539530 0.000274 3.458600
