# lg_k, mean(lg_P), var(lg_P), mode(P)
-0.599761 2.227592 0.000001 168.884453
-0.574489 2.205891 0.000001 160.652898
-0.549218 2.208738 0.000002 161.708601
-0.523946 2.152287 0.000001 141.998532
-0.498675 2.059071 0.000001 114.569566
-0.473403 2.035691 0.000001 108.564980
-0.448131 1.989956 0.000000 97.713615
-0.422860 1.901184 0.000001 79.649124
-0.397588 1.886312 0.000000 76.968172
-0.372317 1.818161 0.000001 65.789692
-0.347045 1.813898 0.000001 65.147091
-0.321774 1.774247 0.000001 59.462622
-0.296502 1.712197 0.000003 51.545526
-0.271230 1.684802 0.000001 48.395011
-0.245959 1.606680 0.000000 40.427694
-0.220687 1.589781 0.000002 38.884620
-0.195416 1.556042 0.000002 35.978094
-0.170144 1.504440 0.000002 31.947471
-0.144872 1.472181 0.000001 29.660555
-0.119601 1.447952 0.000002 28.050963
-0.094329 1.372758 0.000003 23.591287
-0.069058 1.357496 0.000003 22.776610
-0.043786 1.309478 0.000003 20.392552
-0.018515 1.271864 0.000004 18.700522
0.006757 1.239596 0.000003 17.361581
0.032029 1.179994 0.000003 15.135133
0.057300 1.137635 0.000003 13.728628
0.082572 1.108790 0.000004 12.846348
0.107843 1.079400 0.000009 12.005469
0.133115 1.033033 0.000004 10.790050
0.158386 1.003584 0.000005 10.082620
0.183658 0.974906 0.000007 9.438202
0.208930 0.932054 0.000008 8.551391
0.234201 0.890375 0.000007 7.768875
0.259473 0.870746 0.000010 7.425459
0.284744 0.834469 0.000015 6.830219
0.310016 0.803277 0.000018 6.356750
0.335288 0.767447 0.000017 5.853375
0.360559 0.738336 0.000023 5.473730
0.385831 0.707537 0.000020 5.099056
0.411102 0.677123 0.000026 4.754045
0.436374 0.641663 0.000029 4.381243
0.461645 0.607131 0.000030 4.046334
0.486917 0.576907 0.000025 3.774421
0.512189 0.548374 0.000047 3.533989
0.537460 0.514473 0.000032 3.268885
0.562732 0.476491 0.000057 2.994741
0.588003 0.452909 0.000049 2.836590
0.613275 0.419613 0.000077 2.626854
0.638546 0.383900 0.000093 2.419282
0.663818 0.347465 0.000136 2.224089
0.689090 0.308979 0.000156 2.035257
0.714361 0.274265 0.000175 1.878725
0.739633 0.238316 0.000142 1.729775
0.764904 0.202979 0.000069 1.595222
0.790176 0.171225 0.000145 1.482146
0.815447 0.130426 0.000250 1.348498
0.840719 0.091656 0.000345 1.232713
0.865991 0.055571 0.000341 1.134450
0.891262 0.012637 0.000329 1.027733
0.916534 -0.028282 0.000332 0.935303
0.941805 -0.070511 0.000430 0.848201
0.967077 -0.109961 0.000255 0.775269
0.992349 -0.153665 0.000268 0.701000
