# lg_k, mean(lg_P), var(lg_P), mode(P)
-0.599761 2.496548 0.000002 313.720228
-0.574489 2.472039 0.000002 296.506247
-0.549218 2.481731 0.000002 303.197927
-0.523946 2.425578 0.000002 266.423833
-0.498675 2.345906 0.000002 221.769018
-0.473403 2.328073 0.000002 212.847026
-0.448131 2.282571 0.000001 191.675815
-0.422860 2.201935 0.000003 159.194810
-0.397588 2.188298 0.000003 154.273461
-0.372317 2.120075 0.000002 131.846989
-0.347045 2.117228 0.000004 130.984413
-0.321774 2.076951 0.000003 119.383731
-0.296502 2.032726 0.000009 107.821795
-0.271230 2.014342 0.000004 103.355162
-0.245959 1.917803 0.000003 82.755490
-0.220687 1.916992 0.000004 82.600477
-0.195416 1.893990 0.000006 78.338623
-0.170144 1.828914 0.000006 67.437362
-0.144872 1.802608 0.000006 63.473617
-0.119601 1.783430 0.000004 60.732458
-0.094329 1.743840 0.000007 55.440012
-0.069058 1.704640 0.000006 50.655430
-0.043786 1.676175 0.000009 47.441027
-0.018515 1.671862 0.000012 46.971495
0.006757 1.635551 0.000011 43.204097
0.032029 1.583325 0.000022 38.306719
0.057300 1.549347 0.000014 35.425351
0.082572 1.526719 0.000017 33.626412
0.107843 1.509765 0.000026 32.337358
0.133115 1.451382 0.000026 28.269666
0.158386 1.436605 0.000036 27.322624
0.183658 1.407695 0.000045 25.561797
0.208930 1.379667 0.000060 23.962368
0.234201 1.330096 0.000075 21.375780
0.259473 1.308021 0.000108 20.312846
0.284744 1.284629 0.000099 19.248672
0.310016 1.255642 0.000118 18.004030
0.335288 1.230787 0.000080 17.005993
0.360559 1.200828 0.000136 15.867682
0.385831 1.175588 0.000173 14.968904
0.411102 1.147701 0.000146 14.039934
0.436374 1.118102 0.000152 13.114500
0.461645 1.087291 0.000156 12.216071
0.486917 1.051694 0.000100 11.258078
0.512189 1.016146 0.000323 10.361026
0.537460 0.979961 0.000199 9.539002
0.562732 0.943561 0.000178 8.773042
0.588003 0.917221 0.000534 8.241223
0.613275 0.889418 0.000364 7.737120
0.638546 0.854659 0.000357 7.142273
0.663818 0.822360 0.000385 6.629390
0.689090 0.784268 0.000399 6.072257
0.714361 0.752113 0.000318 5.641325
0.739633 0.708405 0.000317 5.101232
0.764904 0.662409 0.000359 4.587570
0.790176 0.620043 0.000594 4.155991
0.815447 0.570428 0.000671 3.705796
0.840719 0.531622 0.000655 3.389321
0.865991 0.486440 0.000541 3.056280
0.891262 0.441669 0.000573 2.756449
0.916534 0.394792 0.000484 2.475587
0.941805 0.348938 0.000460 2.227812
0.967077 0.290346 0.000435 1.946906
0.992349 0.237318 0.000422 1.723242
