# Redshift z = 0.5
# k  f_p+f
6.283190e-03 9.948700e-01
9.684582e-03 9.900725e-01
1.375296e-02 1.001401e+00
1.618423e-02 1.000006e+00
1.930276e-02 9.957703e-01
2.107065e-02 9.878567e-01
2.337122e-02 1.017181e+00
2.648581e-02 1.007862e+00
2.878913e-02 9.891764e-01
3.185264e-02 1.007272e+00
3.420152e-02 9.880067e-01
3.681791e-02 9.877314e-01
3.945357e-02 1.031489e+00
4.177720e-02 1.024413e+00
4.479300e-02 1.000259e+00
4.718642e-02 1.003229e+00
5.021032e-02 9.932039e-01
5.320812e-02 1.021083e+00
5.613617e-02 1.002075e+00
5.904246e-02 9.733970e-01
6.256393e-02 9.829845e-01
6.580554e-02 1.009151e+00
6.927112e-02 9.944566e-01
7.290181e-02 1.005980e+00
7.677718e-02 1.019377e+00
8.061877e-02 1.018931e+00
8.457325e-02 9.761999e-01
8.874486e-02 1.011158e+00
9.276028e-02 9.969808e-01
9.722523e-02 9.854404e-01
1.018996e-01 9.936495e-01
1.066395e-01 1.009842e+00
1.114475e-01 1.002148e+00
1.164822e-01 1.016845e+00
1.219922e-01 9.849901e-01
1.276859e-01 9.796573e-01
1.335873e-01 1.018718e+00
1.398043e-01 1.015538e+00
1.461932e-01 9.990581e-01
1.528335e-01 9.944541e-01
1.598075e-01 1.005758e+00
1.671427e-01 9.915972e-01
1.747861e-01 9.903622e-01
1.827815e-01 1.000429e+00
1.912065e-01 9.990451e-01
1.999030e-01 1.000433e+00
2.090017e-01 1.004317e+00
2.185411e-01 1.007624e+00
2.286056e-01 1.002580e+00
2.392343e-01 9.986821e-01
2.502727e-01 9.950498e-01
2.617474e-01 1.005374e+00
2.737476e-01 1.002415e+00
2.862212e-01 9.991319e-01
2.993059e-01 1.000646e+00
3.129600e-01 9.995314e-01
3.272824e-01 1.007750e+00
3.423208e-01 9.950824e-01
3.579200e-01 9.996483e-01
3.742168e-01 1.004799e+00
3.913596e-01 9.955438e-01
4.092757e-01 1.001314e+00
4.279739e-01 9.951339e-01
4.475163e-01 1.003147e+00
4.679746e-01 9.979973e-01
4.893414e-01 1.002218e+00
5.116862e-01 1.000108e+00
5.350809e-01 1.002348e+00
5.595328e-01 1.003003e+00
5.851135e-01 1.001923e+00
6.118845e-01 1.001620e+00
6.398675e-01 1.001501e+00
6.690947e-01 1.000913e+00
6.996717e-01 1.000518e+00
7.316421e-01 1.000516e+00
7.650748e-01 9.999680e-01
8.000554e-01 1.001985e+00
8.366295e-01 1.002817e+00
8.749004e-01 1.003194e+00
9.148869e-01 1.001035e+00
9.566807e-01 1.000570e+00
1.000417e+00 1.001027e+00
1.046149e+00 1.000491e+00
1.093955e+00 1.001224e+00
1.143945e+00 1.002272e+00
1.196231e+00 1.001847e+00
1.250907e+00 1.002046e+00
1.308081e+00 1.002402e+00
1.367871e+00 1.002389e+00
1.430392e+00 1.002659e+00
1.495755e+00 1.002588e+00
1.564116e+00 1.002804e+00
1.635608e+00 1.002880e+00
1.710356e+00 1.002991e+00
1.788538e+00 1.003328e+00
1.870290e+00 1.002963e+00
1.955759e+00 1.002690e+00
2.045147e+00 1.002329e+00
2.138624e+00 1.002666e+00
2.236366e+00 1.003039e+00
2.338595e+00 1.002868e+00
2.445486e+00 1.002392e+00
2.557238e+00 1.002312e+00
2.674120e+00 1.002459e+00
2.796346e+00 1.001926e+00
2.924151e+00 1.001973e+00
3.057810e+00 1.001624e+00
3.197566e+00 1.001992e+00
3.343702e+00 1.001978e+00
3.496525e+00 1.001810e+00
3.656344e+00 1.001567e+00
3.823460e+00 1.001433e+00
3.998207e+00 1.001364e+00
4.180943e+00 1.001339e+00
4.372039e+00 1.001250e+00
4.571870e+00 1.001241e+00
4.780828e+00 1.001094e+00
4.999334e+00 1.001092e+00
5.227826e+00 1.001127e+00
5.466768e+00 1.001089e+00
5.716628e+00 1.001020e+00
5.977908e+00 1.000836e+00
6.251135e+00 1.000944e+00
6.536846e+00 1.000841e+00
6.835613e+00 1.001044e+00
7.148038e+00 1.000859e+00
7.474736e+00 1.000772e+00
7.816370e+00 1.000680e+00
8.173626e+00 1.000728e+00
8.547206e+00 1.000764e+00
8.937852e+00 1.000810e+00
9.346362e+00 1.000756e+00
9.773544e+00 1.000813e+00
1.022024e+01 1.000882e+00
1.068736e+01 1.000829e+00
1.117583e+01 1.000879e+00
1.168663e+01 1.000791e+00
1.222077e+01 1.000812e+00
1.277934e+01 1.000744e+00
1.336340e+01 1.000681e+00
1.397418e+01 1.000640e+00
1.461288e+01 1.000579e+00
1.528076e+01 1.000484e+00
1.597917e+01 1.000413e+00
1.670951e+01 1.000372e+00
1.747322e+01 1.000267e+00
1.827184e+01 1.000208e+00
1.910531e+01 1.000112e+00
1.996953e+01 1.000086e+00
2.088098e+01 1.000106e+00
2.183359e+01 1.000033e+00
2.282898e+01 9.999735e-01
2.386851e+01 9.999626e-01
2.495291e+01 9.998645e-01
2.608062e+01 9.998120e-01
2.724926e+01 9.997203e-01
2.849202e+01 9.995314e-01
2.977330e+01 9.994083e-01
3.107969e+01 9.993125e-01
3.229959e+01 9.988412e-01
