# Redshift z = 2.0
# k  f_p+f
6.283190e-03 9.971679e-01
9.684582e-03 9.944844e-01
1.375296e-02 1.000757e+00
1.618423e-02 1.000009e+00
1.930276e-02 9.976211e-01
2.107065e-02 9.932501e-01
2.337122e-02 1.009475e+00
2.648581e-02 1.004320e+00
2.878913e-02 9.939308e-01
3.185264e-02 1.004058e+00
3.420152e-02 9.932808e-01
3.681791e-02 9.931401e-01
3.945357e-02 1.017544e+00
4.177720e-02 1.013538e+00
4.479300e-02 9.999306e-01
4.718642e-02 1.001471e+00
5.021032e-02 9.960719e-01
5.320812e-02 1.011818e+00
5.613617e-02 1.001132e+00
5.904246e-02 9.845716e-01
6.256393e-02 9.902097e-01
6.580554e-02 1.005066e+00
6.927112e-02 9.967705e-01
7.290181e-02 1.003746e+00
7.677718e-02 1.011962e+00
8.061877e-02 1.011971e+00
8.457325e-02 9.855103e-01
8.874486e-02 1.006606e+00
9.276028e-02 9.977140e-01
9.722523e-02 9.901640e-01
1.018996e-01 9.952269e-01
1.066395e-01 1.007133e+00
1.114475e-01 1.001375e+00
1.164822e-01 1.009701e+00
1.219922e-01 9.926069e-01
1.276859e-01 9.862735e-01
1.335873e-01 1.012472e+00
1.398043e-01 1.010595e+00
1.461932e-01 1.001144e+00
1.528335e-01 9.968032e-01
1.598075e-01 1.002454e+00
1.671427e-01 9.915876e-01
1.747861e-01 9.929562e-01
1.827815e-01 1.002016e+00
1.912065e-01 9.997019e-01
1.999030e-01 9.986156e-01
2.090017e-01 1.005480e+00
2.185411e-01 1.007511e+00
2.286056e-01 9.998618e-01
2.392343e-01 9.995962e-01
2.502727e-01 9.941761e-01
2.617474e-01 1.008366e+00
2.737476e-01 1.000819e+00
2.862212e-01 9.993536e-01
2.993059e-01 1.005627e+00
3.129600e-01 9.964538e-01
3.272824e-01 1.001052e+00
3.423208e-01 9.930820e-01
3.579200e-01 9.994828e-01
3.742168e-01 1.004164e+00
3.913596e-01 9.966436e-01
4.092757e-01 1.003005e+00
4.279739e-01 1.000751e+00
4.475163e-01 1.001058e+00
4.679746e-01 9.990632e-01
4.893414e-01 1.004666e+00
5.116862e-01 1.004717e+00
5.350809e-01 1.001913e+00
5.595328e-01 1.000852e+00
5.851135e-01 1.000743e+00
6.118845e-01 9.997435e-01
6.398675e-01 9.992143e-01
6.690947e-01 1.000685e+00
6.996717e-01 9.993341e-01
7.316421e-01 9.993995e-01
7.650748e-01 1.002705e+00
8.000554e-01 1.000666e+00
8.366295e-01 1.000905e+00
8.749004e-01 1.000629e+00
9.148869e-01 9.993230e-01
9.566807e-01 1.001710e+00
1.000417e+00 1.000558e+00
1.046149e+00 1.001969e+00
1.093955e+00 1.000369e+00
1.143945e+00 1.001566e+00
1.196231e+00 1.001204e+00
1.250907e+00 1.001426e+00
1.308081e+00 1.001665e+00
1.367871e+00 1.000844e+00
1.430392e+00 1.001225e+00
1.495755e+00 1.001120e+00
1.564116e+00 1.001235e+00
1.635608e+00 1.001213e+00
1.710356e+00 1.001439e+00
1.788538e+00 1.000501e+00
1.870290e+00 1.000705e+00
1.955759e+00 1.000526e+00
2.045147e+00 1.001060e+00
2.138624e+00 1.001238e+00
2.236366e+00 1.000593e+00
2.338595e+00 1.001276e+00
2.445486e+00 1.000667e+00
2.557238e+00 1.000978e+00
2.674120e+00 1.001083e+00
2.796346e+00 1.000891e+00
2.924151e+00 1.001153e+00
3.057810e+00 1.000953e+00
3.197566e+00 1.001079e+00
3.343702e+00 1.001175e+00
3.496525e+00 1.000941e+00
3.656344e+00 1.001050e+00
3.823460e+00 1.001122e+00
3.998207e+00 1.001123e+00
4.180943e+00 1.001149e+00
4.372039e+00 1.001080e+00
4.571870e+00 1.000953e+00
4.780828e+00 1.001069e+00
4.999334e+00 1.000983e+00
5.227826e+00 1.000969e+00
5.466768e+00 1.001123e+00
5.716628e+00 1.001044e+00
5.977908e+00 1.000993e+00
6.251135e+00 1.000992e+00
6.536846e+00 1.000933e+00
6.835613e+00 1.000889e+00
7.148038e+00 1.000829e+00
7.474736e+00 1.000769e+00
7.816370e+00 1.000876e+00
8.173626e+00 1.000728e+00
8.547206e+00 1.000732e+00
8.937852e+00 1.000680e+00
9.346362e+00 1.000580e+00
9.773544e+00 1.000609e+00
1.022024e+01 1.000507e+00
1.068736e+01 1.000475e+00
1.117583e+01 1.000432e+00
1.168663e+01 1.000410e+00
1.222077e+01 1.000401e+00
1.277934e+01 1.000395e+00
1.336340e+01 1.000313e+00
1.397418e+01 1.000335e+00
1.461288e+01 1.000291e+00
1.528076e+01 1.000286e+00
1.597917e+01 1.000280e+00
1.670951e+01 1.000260e+00
1.747322e+01 1.000218e+00
1.827184e+01 1.000236e+00
1.910531e+01 1.000220e+00
1.996953e+01 1.000185e+00
2.088098e+01 1.000179e+00
2.183359e+01 1.000136e+00
2.282898e+01 1.000105e+00
2.386851e+01 1.000149e+00
2.495291e+01 1.000114e+00
2.608062e+01 1.000124e+00
2.724926e+01 1.000146e+00
2.849202e+01 1.000198e+00
2.977330e+01 1.000212e+00
3.107969e+01 1.000375e+00
3.229959e+01 1.000431e+00
