# Redshift z = 0.0
# k  f_p+f
6.283190e-03 9.934537e-01
9.684582e-03 9.873756e-01
1.375296e-02 1.001805e+00
1.618423e-02 1.000019e+00
1.930276e-02 9.946267e-01
2.107065e-02 9.846083e-01
2.337122e-02 1.021930e+00
2.648581e-02 1.010056e+00
2.878913e-02 9.863166e-01
3.185264e-02 1.009216e+00
3.420152e-02 9.848475e-01
3.681791e-02 9.844891e-01
3.945357e-02 1.039901e+00
4.177720e-02 1.031080e+00
4.479300e-02 1.000735e+00
4.718642e-02 1.004752e+00
5.021032e-02 9.916606e-01
5.320812e-02 1.026542e+00
5.613617e-02 1.002669e+00
5.904246e-02 9.672863e-01
6.256393e-02 9.789606e-01
6.580554e-02 1.011658e+00
6.927112e-02 9.932401e-01
7.290181e-02 1.006875e+00
7.677718e-02 1.022297e+00
8.061877e-02 1.021307e+00
8.457325e-02 9.718024e-01
8.874486e-02 1.013325e+00
9.276028e-02 9.973249e-01
9.722523e-02 9.842126e-01
1.018996e-01 9.940496e-01
1.066395e-01 1.009761e+00
1.114475e-01 1.002322e+00
1.164822e-01 1.021056e+00
1.219922e-01 9.801852e-01
1.276859e-01 9.778315e-01
1.335873e-01 1.020615e+00
1.398043e-01 1.016512e+00
1.461932e-01 9.965021e-01
1.528335e-01 9.926194e-01
1.598075e-01 1.007509e+00
1.671427e-01 9.933491e-01
1.747861e-01 9.911459e-01
1.827815e-01 9.987684e-01
1.912065e-01 9.982343e-01
1.999030e-01 1.001781e+00
2.090017e-01 1.001976e+00
2.185411e-01 1.006322e+00
2.286056e-01 1.002773e+00
2.392343e-01 9.977400e-01
2.502727e-01 9.952068e-01
2.617474e-01 1.001714e+00
2.737476e-01 1.002443e+00
2.862212e-01 9.977262e-01
2.993059e-01 9.952447e-01
3.129600e-01 1.001310e+00
3.272824e-01 1.009146e+00
3.423208e-01 9.980786e-01
3.579200e-01 9.992925e-01
3.742168e-01 1.003341e+00
3.913596e-01 9.964014e-01
4.092757e-01 1.002236e+00
4.279739e-01 9.933432e-01
4.475163e-01 1.001064e+00
4.679746e-01 9.961297e-01
4.893414e-01 9.984461e-01
5.116862e-01 9.948712e-01
5.350809e-01 9.969799e-01
5.595328e-01 1.000768e+00
5.851135e-01 9.959334e-01
6.118845e-01 9.981379e-01
6.398675e-01 9.997877e-01
6.690947e-01 9.990644e-01
6.996717e-01 9.963747e-01
7.316421e-01 9.977395e-01
7.650748e-01 9.970342e-01
8.000554e-01 9.978566e-01
8.366295e-01 9.982487e-01
8.749004e-01 9.991088e-01
9.148869e-01 9.986677e-01
9.566807e-01 1.000962e+00
1.000417e+00 9.996471e-01
1.046149e+00 9.997904e-01
1.093955e+00 9.994532e-01
1.143945e+00 1.000334e+00
1.196231e+00 9.996763e-01
1.250907e+00 9.997550e-01
1.308081e+00 1.000867e+00
1.367871e+00 1.002257e+00
1.430392e+00 1.001975e+00
1.495755e+00 1.001740e+00
1.564116e+00 1.001511e+00
1.635608e+00 1.001366e+00
1.710356e+00 1.001397e+00
1.788538e+00 1.001751e+00
1.870290e+00 1.002026e+00
1.955759e+00 1.001848e+00
2.045147e+00 1.002141e+00
2.138624e+00 1.002375e+00
2.236366e+00 1.002641e+00
2.338595e+00 1.002371e+00
2.445486e+00 1.002286e+00
2.557238e+00 1.001933e+00
2.674120e+00 1.001889e+00
2.796346e+00 1.001901e+00
2.924151e+00 1.001910e+00
3.057810e+00 1.001672e+00
3.197566e+00 1.001584e+00
3.343702e+00 1.001297e+00
3.496525e+00 1.001605e+00
3.656344e+00 1.001425e+00
3.823460e+00 1.001242e+00
3.998207e+00 1.001301e+00
4.180943e+00 1.001186e+00
4.372039e+00 1.001056e+00
4.571870e+00 1.001166e+00
4.780828e+00 1.001072e+00
4.999334e+00 1.000814e+00
5.227826e+00 1.000930e+00
5.466768e+00 1.000815e+00
5.716628e+00 1.000855e+00
5.977908e+00 1.001025e+00
6.251135e+00 1.000908e+00
6.536846e+00 1.000889e+00
6.835613e+00 1.000877e+00
7.148038e+00 1.000932e+00
7.474736e+00 1.001057e+00
7.816370e+00 1.001117e+00
8.173626e+00 1.001106e+00
8.547206e+00 1.001040e+00
8.937852e+00 1.001095e+00
9.346362e+00 1.001065e+00
9.773544e+00 1.001104e+00
1.022024e+01 1.001023e+00
1.068736e+01 1.001047e+00
1.117583e+01 1.001107e+00
1.168663e+01 1.001047e+00
1.222077e+01 1.001029e+00
1.277934e+01 1.001030e+00
1.336340e+01 1.000954e+00
1.397418e+01 1.000930e+00
1.461288e+01 1.000960e+00
1.528076e+01 1.000927e+00
1.597917e+01 1.000911e+00
1.670951e+01 1.000924e+00
1.747322e+01 1.000921e+00
1.827184e+01 1.000897e+00
1.910531e+01 1.000972e+00
1.996953e+01 1.001012e+00
2.088098e+01 1.000989e+00
2.183359e+01 1.001000e+00
2.282898e+01 1.001072e+00
2.386851e+01 1.001135e+00
2.495291e+01 1.001223e+00
2.608062e+01 1.001260e+00
2.724926e+01 1.001280e+00
2.849202e+01 1.001454e+00
2.977330e+01 1.001731e+00
3.107969e+01 1.001916e+00
3.229959e+01 1.002335e+00
