# Redshift z = 1.0
# k  f_p+f
6.283190e-03 9.959075e-01
9.684582e-03 9.920565e-01
1.375296e-02 1.001109e+00
1.618423e-02 1.000005e+00
1.930276e-02 9.966056e-01
2.107065e-02 9.902732e-01
2.337122e-02 1.013701e+00
2.648581e-02 1.006262e+00
2.878913e-02 9.913094e-01
3.185264e-02 1.005825e+00
3.420152e-02 9.903714e-01
3.681791e-02 9.901562e-01
3.945357e-02 1.025223e+00
4.177720e-02 1.019504e+00
4.479300e-02 1.000053e+00
4.718642e-02 1.002345e+00
5.021032e-02 9.944518e-01
5.320812e-02 1.016948e+00
5.613617e-02 1.001646e+00
5.904246e-02 9.782709e-01
6.256393e-02 9.861556e-01
6.580554e-02 1.007304e+00
6.927112e-02 9.954617e-01
7.290181e-02 1.005078e+00
7.677718e-02 1.016382e+00
8.061877e-02 1.016204e+00
8.457325e-02 9.800928e-01
8.874486e-02 1.009234e+00
9.276028e-02 9.971435e-01
9.722523e-02 9.871500e-01
1.018996e-01 9.940289e-01
1.066395e-01 1.009046e+00
1.114475e-01 1.001867e+00
1.164822e-01 1.013675e+00
1.219922e-01 9.885692e-01
1.276859e-01 9.820661e-01
1.335873e-01 1.016408e+00
1.398043e-01 1.013815e+00
1.461932e-01 1.000374e+00
1.528335e-01 9.955674e-01
1.598075e-01 1.004200e+00
1.671427e-01 9.909077e-01
1.747861e-01 9.910292e-01
1.827815e-01 1.001429e+00
1.912065e-01 9.994161e-01
1.999030e-01 9.994543e-01
2.090017e-01 1.005392e+00
2.185411e-01 1.008072e+00
2.286056e-01 1.001348e+00
2.392343e-01 9.990585e-01
2.502727e-01 9.944097e-01
2.617474e-01 1.007536e+00
2.737476e-01 1.001510e+00
2.862212e-01 9.994331e-01
2.993059e-01 1.003952e+00
3.129600e-01 9.975564e-01
3.272824e-01 1.004418e+00
3.423208e-01 9.931054e-01
3.579200e-01 9.993925e-01
3.742168e-01 1.004744e+00
3.913596e-01 9.951965e-01
4.092757e-01 1.001376e+00
4.279739e-01 9.976429e-01
4.475163e-01 1.002664e+00
4.679746e-01 9.981299e-01
4.893414e-01 1.003055e+00
5.116862e-01 1.003377e+00
5.350809e-01 1.002229e+00
5.595328e-01 1.001482e+00
5.851135e-01 1.001433e+00
6.118845e-01 1.000782e+00
6.398675e-01 9.999690e-01
6.690947e-01 9.992151e-01
6.996717e-01 1.000469e+00
7.316421e-01 9.991077e-01
7.650748e-01 1.000401e+00
8.000554e-01 1.001244e+00
8.366295e-01 1.001954e+00
8.749004e-01 1.001055e+00
9.148869e-01 9.997487e-01
9.566807e-01 9.995299e-01
1.000417e+00 9.996032e-01
1.046149e+00 1.000671e+00
1.093955e+00 1.000609e+00
1.143945e+00 1.000997e+00
1.196231e+00 1.000672e+00
1.250907e+00 1.000788e+00
1.308081e+00 1.000801e+00
1.367871e+00 1.000784e+00
1.430392e+00 1.000218e+00
1.495755e+00 1.000286e+00
1.564116e+00 1.000888e+00
1.635608e+00 1.000548e+00
1.710356e+00 1.000618e+00
1.788538e+00 1.000881e+00
1.870290e+00 1.001172e+00
1.955759e+00 1.000929e+00
2.045147e+00 1.000830e+00
2.138624e+00 1.001383e+00
2.236366e+00 1.000965e+00
2.338595e+00 1.001300e+00
2.445486e+00 1.001194e+00
2.557238e+00 1.001332e+00
2.674120e+00 1.001128e+00
2.796346e+00 1.001478e+00
2.924151e+00 1.001284e+00
3.057810e+00 1.001247e+00
3.197566e+00 1.001232e+00
3.343702e+00 1.001341e+00
3.496525e+00 1.001152e+00
3.656344e+00 1.001286e+00
3.823460e+00 1.001284e+00
3.998207e+00 1.001045e+00
4.180943e+00 1.001262e+00
4.372039e+00 1.001103e+00
4.571870e+00 1.001025e+00
4.780828e+00 1.001153e+00
4.999334e+00 1.001070e+00
5.227826e+00 1.001144e+00
5.466768e+00 1.000966e+00
5.716628e+00 1.001026e+00
5.977908e+00 1.000947e+00
6.251135e+00 1.000774e+00
6.536846e+00 1.000705e+00
6.835613e+00 1.000688e+00
7.148038e+00 1.000629e+00
7.474736e+00 1.000586e+00
7.816370e+00 1.000598e+00
8.173626e+00 1.000530e+00
8.547206e+00 1.000448e+00
8.937852e+00 1.000535e+00
9.346362e+00 1.000531e+00
9.773544e+00 1.000456e+00
1.022024e+01 1.000393e+00
1.068736e+01 1.000407e+00
1.117583e+01 1.000488e+00
1.168663e+01 1.000500e+00
1.222077e+01 1.000454e+00
1.277934e+01 1.000375e+00
1.336340e+01 1.000383e+00
1.397418e+01 1.000292e+00
1.461288e+01 1.000306e+00
1.528076e+01 1.000277e+00
1.597917e+01 1.000208e+00
1.670951e+01 1.000178e+00
1.747322e+01 1.000146e+00
1.827184e+01 1.000109e+00
1.910531e+01 1.000077e+00
1.996953e+01 1.000136e+00
2.088098e+01 1.000172e+00
2.183359e+01 1.000199e+00
2.282898e+01 1.000214e+00
2.386851e+01 1.000180e+00
2.495291e+01 1.000204e+00
2.608062e+01 1.000157e+00
2.724926e+01 1.000125e+00
2.849202e+01 1.000087e+00
2.977330e+01 1.000155e+00
3.107969e+01 1.000486e+00
3.229959e+01 1.000456e+00
