# 1. len_slice  2. n_select_slc  3. beams  4. n_optimization_restarts  5. best slices  6. best points  7. loss (variance)  8. time spent (min)
0  0  0  0  [183, 27, 76, 18, 77]  [549, 550, 551, 81, 82, 83, 228, 229, 230, 54, 55, 56, 231, 232, 233]  1.172918e-03 0.00
0  0  0  0  [34, 185, 19, 127, 87]  [102, 103, 104, 555, 556, 557, 57, 58, 59, 381, 382, 383, 261, 262, 263]  1.180458e-03 0.00
0  0  0  0  [9, 132, 4, 127, 163]  [27, 28, 29, 396, 397, 398, 12, 13, 14, 381, 382, 383, 489, 490, 491]  1.217917e-03 0.00
0  0  0  0  [59, 169, 23, 123, 68]  [177, 178, 179, 507, 508, 509, 69, 70, 71, 369, 370, 371, 204, 205, 206]  1.232100e-03 0.00
0  0  0  0  [81, 42, 100, 99, 41]  [243, 244, 245, 126, 127, 128, 300, 301, 302, 297, 298, 299, 123, 124, 125]  1.234027e-03 0.00
0  0  0  0  [24, 56, 164, 64, 158]  [72, 73, 74, 168, 169, 170, 492, 493, 494, 192, 193, 194, 474, 475, 476]  1.253891e-03 0.00
0  0  0  0  [57, 181, 19, 60, 23]  [171, 172, 173, 543, 544, 545, 57, 58, 59, 180, 181, 182, 69, 70, 71]  1.268532e-03 0.00
0  0  0  0  [58, 47, 140, 11, 117]  [174, 175, 176, 141, 142, 143, 420, 421, 422, 33, 34, 35, 351, 352, 353]  1.292104e-03 0.00
0  0  0  0  [108, 29, 133, 86, 32]  [324, 325, 326, 87, 88, 89, 399, 400, 401, 258, 259, 260, 96, 97, 98]  1.293999e-03 0.00
0  0  0  0  [153, 51, 180, 17, 168]  [459, 460, 461, 153, 154, 155, 540, 541, 542, 51, 52, 53, 504, 505, 506]  1.310910e-03 0.00
0  0  0  0  [35, 169, 76, 4, 74]  [105, 106, 107, 507, 508, 509, 228, 229, 230, 12, 13, 14, 222, 223, 224]  1.315586e-03 0.00
0  0  0  0  [8, 156, 61, 187, 67]  [24, 25, 26, 468, 469, 470, 183, 184, 185, 561, 562, 563, 201, 202, 203]  1.357938e-03 0.00
0  0  0  0  [136, 76, 16, 34, 168]  [408, 409, 410, 228, 229, 230, 48, 49, 50, 102, 103, 104, 504, 505, 506]  1.368985e-03 0.00
0  0  0  0  [25, 88, 185, 47, 1]  [75, 76, 77, 264, 265, 266, 555, 556, 557, 141, 142, 143, 3, 4, 5]  1.403877e-03 0.00
0  0  0  0  [146, 125, 17, 185, 122]  [438, 439, 440, 375, 376, 377, 51, 52, 53, 555, 556, 557, 366, 367, 368]  1.459139e-03 0.00
0  0  0  0  [43, 133, 132, 134, 181]  [129, 130, 131, 399, 400, 401, 396, 397, 398, 402, 403, 404, 543, 544, 545]  1.461304e-03 0.00
0  0  0  0  [41, 56, 24, 163, 114]  [123, 124, 125, 168, 169, 170, 72, 73, 74, 489, 490, 491, 342, 343, 344]  1.473449e-03 0.00
0  0  0  0  [187, 78, 132, 97, 11]  [561, 562, 563, 234, 235, 236, 396, 397, 398, 291, 292, 293, 33, 34, 35]  1.482154e-03 0.00
0  0  0  0  [99, 13, 100, 173, 64]  [297, 298, 299, 39, 40, 41, 300, 301, 302, 519, 520, 521, 192, 193, 194]  1.593850e-03 0.00
0  0  0  0  [20, 98, 173, 63, 114]  [60, 61, 62, 294, 295, 296, 519, 520, 521, 189, 190, 191, 342, 343, 344]  1.615231e-03 0.00
0  0  0  0  [33, 83, 78, 182, 41]  [99, 100, 101, 249, 250, 251, 234, 235, 236, 546, 547, 548, 123, 124, 125]  1.717248e-03 0.00
0  0  0  0  [3, 156, 13, 59, 153]  [9, 10, 11, 468, 469, 470, 39, 40, 41, 177, 178, 179, 459, 460, 461]  1.829842e-03 0.00
0  0  0  0  [128, 2, 13, 99, 116]  [384, 385, 386, 6, 7, 8, 39, 40, 41, 297, 298, 299, 348, 349, 350]  2.182357e-03 0.00
