# 1. len_slice  2. n_select_slc  3. beams  4. n_optimization_restarts  5. best slices  6. best points  7. loss (variance)  8. time spent (min)
0  0  0  0  [227, 28]  [908, 909, 910, 911, 112, 113, 114, 115]  9.913754e-03 0.00
0  0  0  0  [153, 227]  [612, 613, 614, 615, 908, 909, 910, 911]  9.917462e-03 0.00
0  0  0  0  [113, 105]  [452, 453, 454, 455, 420, 421, 422, 423]  1.015787e-02 0.00
0  0  0  0  [246, 3]  [984, 985, 986, 987, 12, 13, 14, 15]  1.018285e-02 0.00
0  0  0  0  [86, 175]  [344, 345, 346, 347, 700, 701, 702, 703]  1.066159e-02 0.00
0  0  0  0  [6, 228]  [24, 25, 26, 27, 912, 913, 914, 915]  1.074121e-02 0.00
0  0  0  0  [58, 53]  [232, 233, 234, 235, 212, 213, 214, 215]  1.095935e-02 0.00
0  0  0  0  [1, 46]  [4, 5, 6, 7, 184, 185, 186, 187]  1.108055e-02 0.00
0  0  0  0  [257, 36]  [1028, 1029, 1030, 1031, 144, 145, 146, 147]  1.117284e-02 0.00
0  0  0  0  [23, 88]  [92, 93, 94, 95, 352, 353, 354, 355]  1.133359e-02 0.00
0  0  0  0  [269, 40]  [1076, 1077, 1078, 1079, 160, 161, 162, 163]  1.152181e-02 0.00
0  0  0  0  [158, 202]  [632, 633, 634, 635, 808, 809, 810, 811]  1.175288e-02 0.00
0  0  0  0  [207, 116]  [828, 829, 830, 831, 464, 465, 466, 467]  1.192590e-02 0.00
0  0  0  0  [119, 161]  [476, 477, 478, 479, 644, 645, 646, 647]  1.208091e-02 0.00
0  0  0  0  [182, 252]  [728, 729, 730, 731, 1008, 1009, 1010, 1011]  1.210160e-02 0.00
0  0  0  0  [16, 23]  [64, 65, 66, 67, 92, 93, 94, 95]  1.211163e-02 0.00
0  0  0  0  [82, 204]  [328, 329, 330, 331, 816, 817, 818, 819]  1.227049e-02 0.00
0  0  0  0  [122, 151]  [488, 489, 490, 491, 604, 605, 606, 607]  1.227682e-02 0.00
0  0  0  0  [89, 46]  [356, 357, 358, 359, 184, 185, 186, 187]  1.235238e-02 0.00
0  0  0  0  [240, 198]  [960, 961, 962, 963, 792, 793, 794, 795]  1.244508e-02 0.00
0  0  0  0  [156, 53]  [624, 625, 626, 627, 212, 213, 214, 215]  1.251001e-02 0.00
0  0  0  0  [110, 223]  [440, 441, 442, 443, 892, 893, 894, 895]  1.286380e-02 0.00
0  0  0  0  [77, 242]  [308, 309, 310, 311, 968, 969, 970, 971]  1.300261e-02 0.00
0  0  0  0  [162, 203]  [648, 649, 650, 651, 812, 813, 814, 815]  1.333881e-02 0.00
0  0  0  0  [31, 58]  [124, 125, 126, 127, 232, 233, 234, 235]  1.357608e-02 0.00
0  0  0  0  [34, 227]  [136, 137, 138, 139, 908, 909, 910, 911]  1.384145e-02 0.00
0  0  0  0  [237, 151]  [948, 949, 950, 951, 604, 605, 606, 607]  1.408723e-02 0.00
0  0  0  0  [220, 40]  [880, 881, 882, 883, 160, 161, 162, 163]  1.425773e-02 0.00
0  0  0  0  [106, 134]  [424, 425, 426, 427, 536, 537, 538, 539]  1.492242e-02 0.00
4  2  1  20  [162, 203]  [648, 649, 650, 651, 812, 813, 814, 815]  1.333882e-02 142.09
4  2  2  20  [16, 23]  [64, 65, 66, 67, 92, 93, 94, 95]  1.218796e-02 258.39
0  0  0  0  [162, 203]  [648, 649, 650, 651, 812, 813, 814, 815]  1.333882e-02 0.00
4  2  8  20  [134, 22]  [536, 537, 538, 539, 88, 89, 90, 91]  8.887296e-03 703.32
0  0  0  0  [249, 235]  [996, 997, 998, 999, 940, 941, 942, 943]  9.546292e-03 0.00
0  0  0  0  [257, 36]  [1028, 1029, 1030, 1031, 144, 145, 146, 147]  1.117285e-02 0.00
0  0  0  0  [269, 40]  [1076, 1077, 1078, 1079, 160, 161, 162, 163]  1.151961e-02 0.00
0  0  0  0  [16, 23]  [64, 65, 66, 67, 92, 93, 94, 95]  1.218796e-02 0.00
0  0  0  0  [162, 203]  [648, 649, 650, 651, 812, 813, 814, 815]  1.333882e-02 0.00
0  0  0  0  [237, 218]  [948, 949, 950, 951, 872, 873, 874, 875]  1.414832e-02 0.00
0  0  0  0  [106, 134]  [424, 425, 426, 427, 536, 537, 538, 539]  1.492247e-02 0.00
