# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 4.337802 0.000081 21757.786204
-1.560025 4.319440 0.000024 20863.354138
-1.520288 4.318270 0.000156 20792.714305
-1.480552 4.304612 0.000129 20151.904784
-1.440816 4.285308 0.000225 19265.963267
-1.401080 4.238894 0.000148 17320.205638
-1.361343 4.218860 0.000129 16541.049189
-1.321607 4.190104 0.000197 15475.731257
-1.281871 4.160757 0.000131 14469.535430
-1.242135 4.143914 0.000084 13922.607194
-1.202399 4.119103 0.000098 13148.563686
-1.162662 4.094652 0.000082 12429.795159
-1.122926 4.043944 0.000098 11059.061495
-1.083190 4.015464 0.000124 10355.646178
-1.043454 3.946889 0.000107 8843.892048
-1.003717 3.902216 0.000160 7977.159456
-0.963981 3.842272 0.000125 6949.996188
-0.924245 3.814637 0.000103 6522.280158
-0.884509 3.781045 0.000104 6036.768317
-0.844773 3.714545 0.000101 5179.808281
-0.805036 3.649513 0.000148 4458.341840
-0.765300 3.616116 0.000129 4128.753019
-0.725564 3.575815 0.000124 3762.962735
-0.685828 3.515456 0.000149 3274.263746
-0.646091 3.469447 0.000114 2945.663892
-0.606355 3.424620 0.000109 2656.854180
-0.566619 3.373442 0.000143 2361.095445
-0.526883 3.342626 0.000135 2199.456585
-0.487147 3.292481 0.000125 1959.715719
-0.447410 3.255262 0.000156 1798.463621
-0.407674 3.214433 0.000171 1636.966770
-0.367938 3.175536 0.000177 1496.681841
-0.328202 3.141957 0.000144 1385.559264
-0.288465 3.102718 0.000135 1265.924733
-0.248729 3.072329 0.000149 1180.284252
-0.208993 3.033166 0.000169 1078.392228
-0.169257 2.999879 0.000183 998.754090
-0.129520 2.963367 0.000174 918.261538
-0.089784 2.926218 0.000184 842.937131
-0.050048 2.892377 0.000216 779.615809
-0.010312 2.849397 0.000282 705.907684
0.029424 2.810283 0.000296 645.062018
0.069161 2.770232 0.000350 588.065899
0.108897 2.724226 0.000418 528.766597
0.148633 2.682605 0.000458 480.341864
0.188369 2.631096 0.000454 426.628423
0.228106 2.580614 0.000485 379.748918
0.267842 2.523894 0.000627 333.004253
0.307578 2.464111 0.000721 290.035795
0.347314 2.407618 0.000791 254.564129
0.387050 2.361792 0.000852 228.997659
0.426787 2.298415 0.001185 197.553963
0.466523 2.242885 0.001160 173.865612
0.506259 2.187973 0.001352 153.059555
0.545995 2.129652 0.001441 133.762570
0.585732 2.067072 0.001593 115.718593
0.625468 2.070088 0.002070 116.230585
0.665204 1.961550 0.002201 90.465102
0.704940 1.868795 0.002131 73.095149
0.744677 1.853804 0.002461 70.491706
0.784413 1.737382 0.001863 54.087077
0.824149 1.672157 0.002013 46.507440
0.863885 1.588052 0.002213 38.278720
0.903621 1.508996 0.002926 31.787760
