# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 4.215842 0.000393 16403.539342
-1.560025 4.172594 0.000104 14871.520587
-1.520288 4.125903 0.000173 13350.737908
-1.480552 4.070092 0.000192 11739.472283
-1.440816 4.022516 0.000142 10524.178562
-1.401080 3.947816 0.000144 8861.026527
-1.361343 3.908232 0.000084 8091.699466
-1.321607 3.859358 0.000189 7226.406658
-1.281871 3.814855 0.000550 6510.123267
-1.242135 3.787061 0.000098 6121.194094
-1.202399 3.753334 0.000182 5661.289012
-1.162662 3.714940 0.000113 5184.176301
-1.122926 3.642776 0.000133 4390.041465
-1.083190 3.577733 0.000214 3777.805958
-1.043454 3.489432 0.000142 3083.943391
-1.003717 3.420925 0.000152 2633.745369
-0.963981 3.358662 0.000129 2282.261797
-0.924245 3.314463 0.000098 2061.759691
-0.884509 3.269656 0.000160 1859.037939
-0.844773 3.183152 0.000121 1523.612883
-0.805036 3.104815 0.000140 1272.014493
-0.765300 3.047489 0.000156 1114.628682
-0.725564 2.996354 0.000400 989.538333
-0.685828 2.921030 0.000152 833.066627
-0.646091 2.850193 0.000138 707.742619
-0.606355 2.795946 0.000178 624.504085
-0.566619 2.720879 0.000134 525.497960
-0.526883 2.661717 0.000342 458.068296
-0.487147 2.593998 0.000183 392.262027
-0.447410 2.534195 0.000198 341.773098
-0.407674 2.474927 0.000182 298.200888
-0.367938 2.419879 0.002440 259.574267
-0.328202 2.357652 0.000175 227.640265
-0.288465 2.298839 0.000191 198.791826
-0.248729 2.245821 0.000207 175.932104
-0.208993 2.193674 0.000197 156.034559
-0.169257 2.148524 0.000207 140.620233
-0.129520 2.096108 0.000222 124.622972
-0.089784 2.046133 0.000259 111.054326
-0.050048 1.998115 0.000354 99.380251
-0.010312 1.951281 0.000364 89.216145
0.029424 1.907680 0.000367 80.692896
0.069161 1.862771 0.000433 72.740104
0.108897 1.816296 0.000551 65.317305
0.148633 1.777378 0.000385 59.771359
0.188369 1.732664 0.000425 53.911929
0.228106 1.680007 0.000747 47.674605
0.267842 1.641806 0.000481 43.721738
0.307578 1.587432 0.000856 38.500006
0.347314 1.548714 0.000593 35.265363
0.387050 1.501839 0.000770 31.627670
0.426787 1.458061 0.001106 28.543919
0.466523 1.402406 0.001083 25.113784
0.506259 1.347463 0.001263 22.108324
0.545995 1.293825 0.001199 19.546271
0.585732 1.236803 0.001181 17.142846
0.625468 1.178940 0.002041 14.936222
0.665204 1.099443 0.001698 12.460411
0.704940 1.031230 0.001750 10.646375
0.744677 0.967713 0.002075 9.181948
0.784413 0.870561 0.002366 7.330167
0.824149 0.813108 0.002543 6.415805
0.863885 0.735017 0.002952 5.348343
0.903621 0.663886 0.002743 4.545382
