# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 4.205881 0.000122 16054.604710
-1.560025 4.165887 0.000101 14643.808687
-1.520288 4.109981 0.000040 12879.213401
-1.480552 4.050565 0.000142 11226.345782
-1.440816 3.991997 0.000192 9807.429326
-1.401080 3.914441 0.000127 8206.311447
-1.361343 3.869190 0.000120 7394.570018
-1.321607 3.823088 0.000232 6645.898056
-1.281871 3.782680 0.000129 6058.744295
-1.242135 3.755338 0.000093 5690.153189
-1.202399 3.723346 0.000086 5286.264219
-1.162662 3.673078 0.000112 4707.818584
-1.122926 3.594485 0.000109 3928.572941
-1.083190 3.521885 0.000122 3323.568264
-1.043454 3.428467 0.000105 2680.558344
-1.003717 3.357617 0.000114 2276.947071
-0.963981 3.301330 0.000294 1998.262867
-0.924245 3.262347 0.000095 1828.644347
-0.884509 3.203810 0.000110 1597.926529
-0.844773 3.108859 0.000116 1284.079659
-0.805036 3.028608 0.000117 1067.431873
-0.765300 2.979470 0.000106 953.291303
-0.725564 2.916002 0.000121 823.615953
-0.685828 2.836283 0.000138 685.434291
-0.646091 2.771112 0.000159 589.855001
-0.606355 2.708913 0.000146 511.183273
-0.566619 2.632654 0.000312 428.485219
-0.526883 2.570384 0.000380 371.115810
-0.487147 2.500179 0.000183 316.051569
-0.447410 2.437400 0.000156 273.553389
-0.407674 2.370310 0.000178 234.369046
-0.367938 2.315385 0.000179 206.525065
-0.328202 2.251073 0.000595 177.706448
-0.288465 2.187316 0.000280 153.699634
-0.248729 2.126574 0.000389 133.560453
-0.208993 2.068914 0.000326 116.993986
-0.169257 2.014056 0.000416 103.061788
-0.129520 1.952963 0.001463 89.042035
-0.089784 1.899201 0.001952 78.470454
-0.050048 1.850947 0.001124 70.527368
-0.010312 1.795896 0.000771 62.247433
0.029424 1.758894 0.001344 56.990156
0.069161 1.701900 0.001691 49.889301
0.108897 1.650923 0.002415 44.193981
0.148633 1.614133 0.003039 40.470311
0.188369 1.564170 0.002362 36.201964
0.228106 1.514352 0.004068 31.987852
0.267842 1.465301 0.000929 29.051109
0.307578 1.417561 0.000511 26.084651
0.347314 1.367907 0.000638 23.250784
0.387050 1.308182 0.000831 20.242691
0.426787 1.263496 0.000911 18.255665
0.466523 1.205486 0.000853 15.977989
0.506259 1.148368 0.000804 14.012528
0.545995 1.090825 0.000935 12.265143
0.585732 1.029585 0.000996 10.648576
0.625468 0.955653 0.001119 8.975871
0.665204 0.886348 0.001411 7.640098
0.704940 0.821230 0.001237 6.582353
0.744677 0.743688 0.001439 5.500161
0.784413 0.661340 0.001628 4.545612
0.824149 0.581673 0.002017 3.775975
0.863885 0.503604 0.002198 3.151686
0.903621 0.419679 0.002529 2.593324
