# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 4.167574 0.000110 14700.139312
-1.560025 4.145647 0.000069 13979.421244
-1.520288 4.112589 0.000168 12947.980703
-1.480552 4.075996 0.000193 11900.153442
-1.440816 4.038534 0.000264 10912.554910
-1.401080 3.979259 0.000165 9525.324984
-1.361343 3.948982 0.000143 8884.900497
-1.321607 3.915941 0.000186 8232.124689
-1.281871 3.883670 0.000122 7645.209732
-1.242135 3.867257 0.000108 7362.218239
-1.202399 3.841765 0.000119 6942.124695
-1.162662 3.806414 0.000102 6399.988668
-1.122926 3.748257 0.000145 5596.579363
-1.083190 3.694558 0.000107 4946.653700
-1.043454 3.624832 0.000157 4211.834276
-1.003717 3.567473 0.000137 3691.111847
-0.963981 3.510698 0.000152 3238.527655
-0.924245 3.475826 0.000107 2989.363095
-0.884509 3.431982 0.000134 2701.922637
-0.844773 3.367151 0.000114 2327.488818
-0.805036 3.296301 0.000144 1976.826492
-0.765300 3.246943 0.000157 1764.336499
-0.725564 3.197800 0.000129 1575.807534
-0.685828 3.138198 0.000144 1373.622135
-0.646091 3.075420 0.000110 1188.958614
-0.606355 3.024423 0.000192 1056.769421
-0.566619 2.966354 0.000133 924.801481
-0.526883 2.919338 0.000152 829.826942
-0.487147 2.863051 0.000173 728.874927
-0.447410 2.814595 0.000202 651.823290
-0.407674 2.765925 0.000163 582.841124
-0.367938 2.721271 0.000219 525.735505
-0.328202 2.671992 0.000194 469.402883
-0.288465 2.628753 0.000205 424.894508
-0.248729 2.585260 0.000217 384.379293
-0.208993 2.534726 0.000204 342.180267
-0.169257 2.505767 0.000243 320.043140
-0.129520 2.452928 0.000192 283.455985
-0.089784 2.413584 0.000240 258.840352
-0.050048 2.373844 0.000256 236.186076
-0.010312 2.335701 0.000262 216.320850
0.029424 2.297012 0.000284 197.860417
0.069161 2.258194 0.000261 180.964412
0.108897 2.214129 0.000333 163.441711
0.148633 2.173301 0.000322 148.785546
0.188369 2.127731 0.000428 133.889355
0.228106 2.083150 0.000485 120.790469
0.267842 2.029848 0.000444 106.862923
0.307578 1.978771 0.000563 94.945606
0.347314 1.929624 0.000644 84.750294
0.387050 1.870204 0.000754 73.870039
0.426787 1.815669 0.000743 65.156482
0.466523 1.768314 0.001073 58.323374
0.506259 1.699654 0.001210 49.758738
0.545995 1.630224 0.001204 42.408363
0.585732 1.561847 0.001068 36.256606
0.625468 1.484114 0.001238 30.287473
0.665204 1.411352 0.001432 25.589055
0.704940 1.349971 0.001606 22.195945
0.744677 1.293314 0.002586 19.380220
0.784413 1.211115 0.003063 15.997871
0.824149 1.128482 0.002036 13.298202
0.863885 1.054476 0.002270 11.200806
0.903621 0.988144 0.002896 9.582438
