# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 3.217008 0.000073 1647.559179
-1.560025 3.188460 0.000100 1542.514529
-1.520288 3.145599 0.000310 1396.001144
-1.480552 3.101888 0.000031 1264.201685
-1.440816 3.051298 0.000130 1124.601063
-1.401080 2.992464 0.000134 982.098580
-1.361343 2.945328 0.000107 881.215382
-1.321607 2.909721 0.000068 812.017155
-1.281871 2.858162 0.000108 720.963989
-1.242135 2.827262 0.000116 671.419392
-1.202399 2.794520 0.000083 622.772686
-1.162662 2.756200 0.000090 570.153326
-1.122926 2.704228 0.000128 505.747359
-1.083190 2.638525 0.000136 434.722202
-1.043454 2.553107 0.000102 357.167406
-1.003717 2.469415 0.000136 294.510844
-0.963981 2.398613 0.000148 250.190650
-0.924245 2.362226 0.000266 229.939852
-0.884509 2.318450 0.000118 208.055506
-0.844773 2.244429 0.000112 175.456590
-0.805036 2.141578 0.000140 138.437787
-0.765300 2.068494 0.000121 117.007994
-0.725564 2.021286 0.000099 104.968149
-0.685828 1.946078 0.000128 88.264050
-0.646091 1.848063 0.000153 70.422375
-0.606355 1.788117 0.000107 61.357820
-0.566619 1.710795 0.000111 51.349825
-0.526883 1.625195 0.000105 42.164980
-0.487147 1.554237 0.000111 35.808116
-0.447410 1.466774 0.000123 29.274598
-0.407674 1.389536 0.000117 24.505651
-0.367938 1.306954 0.000108 20.263017
-0.328202 1.226260 0.000135 16.824747
-0.288465 1.139953 0.000119 13.793664
-0.248729 1.057644 0.000132 11.411440
-0.208993 0.975858 0.000122 9.453176
-0.169257 0.890774 0.000156 7.769903
-0.129520 0.809624 0.000248 6.442485
-0.089784 0.725879 0.000168 5.314852
-0.050048 0.639419 0.000142 4.356048
-0.010312 0.557083 0.000159 3.603439
0.029424 0.473362 0.000461 2.966889
0.069161 0.387810 0.000170 2.440162
0.108897 0.304929 0.000177 2.016144
0.148633 0.223184 0.000170 1.670295
0.188369 0.141260 0.000184 1.383044
0.228106 0.061717 0.000199 1.151483
0.267842 -0.017823 0.000244 0.958549
0.307578 -0.100834 0.000262 0.791704
0.347314 -0.178706 0.000318 0.661550
0.387050 -0.264389 0.000390 0.542893
0.426787 -0.341046 0.000514 0.454748
0.466523 -0.413444 0.000492 0.384965
0.506259 -0.493536 0.000469 0.320173
0.545995 -0.573309 0.000559 0.266321
0.585732 -0.643929 0.000815 0.226044
0.625468 -0.717337 0.001041 0.190662
0.665204 -0.792437 0.001419 0.160065
0.704940 -0.870682 0.001053 0.133935
0.744677 -0.943172 0.001605 0.113014
0.784413 -0.997413 0.001898 0.099590
0.824149 -1.075619 0.002032 0.083119
0.863885 -1.135030 0.001900 0.072543
0.903621 -1.201894 0.002225 0.062085
