# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas 
3.318846e-01 5.022308e-02 7.344872e-01 2.291795e-09 9.703205e-01 -1.034359e+00 3.365385e-01 9.450000e-02 2.542308e+00 4.692308e-03 
2.820385e-01 4.576154e-02 7.047436e-01 2.281538e-09 9.589103e-01 -9.235897e-01 -9.865385e-01 1.215000e-01 3.554615e+00 -9.769231e-03 
3.023462e-01 5.094615e-02 7.167949e-01 2.096923e-09 9.844231e-01 -7.430769e-01 -9.038462e-02 1.071923e-01 2.323333e+00 -2.176923e-02 
3.279615e-01 4.706923e-02 6.424359e-01 1.820000e-09 9.687821e-01 -1.050769e+00 9.423077e-02 7.880769e-02 3.034103e+00 2.669231e-02 
2.707308e-01 4.750000e-02 6.873077e-01 2.449744e-09 9.766026e-01 -1.116410e+00 -2.903846e-01 1.459615e-01 2.632051e+00 2.115385e-02 
3.074231e-01 4.660769e-02 7.306410e-01 1.762564e-09 9.544231e-01 -7.533333e-01 -8.134615e-01 9.034615e-02 3.303333e+00 -7.923077e-03 
3.316538e-01 5.050000e-02 6.524359e-01 2.142051e-09 9.873718e-01 -9.297436e-01 3.096154e-01 7.834615e-02 3.231538e+00 -1.900000e-02 
2.898846e-01 4.731538e-02 6.932051e-01 2.244615e-09 9.523718e-01 -1.216923e+00 -2.403846e-01 8.780769e-02 2.348462e+00 2.761538e-02 
3.125000e-01 4.968462e-02 7.137179e-01 1.731795e-09 9.928846e-01 -6.097436e-01 -8.057692e-01 1.233462e-01 2.894103e+00 -1.307692e-03 
3.314231e-01 4.631538e-02 6.501282e-01 2.193333e-09 9.721154e-01 -9.912821e-01 2.173077e-01 1.009615e-01 3.673077e+00 -2.515385e-02 
2.852692e-01 5.099231e-02 6.965385e-01 2.300000e-09 9.527564e-01 -1.147179e+00 1.211538e-01 1.018846e-01 3.536667e+00 6.076923e-03 
3.099615e-01 4.703846e-02 6.629487e-01 1.783077e-09 9.780128e-01 -1.030256e+00 -6.134615e-01 1.448077e-01 2.470513e+00 -2.238462e-02 
3.388077e-01 4.697692e-02 7.173077e-01 2.230256e-09 9.976282e-01 -5.646154e-01 -4.038462e-02 7.026923e-02 3.041282e+00 1.700000e-02 
2.612692e-01 4.960769e-02 7.334615e-01 1.906154e-09 9.551923e-01 -9.933333e-01 -3.019231e-01 9.680769e-02 3.148974e+00 2.407692e-02 
3.178077e-01 4.871538e-02 6.442308e-01 2.258974e-09 9.710897e-01 -7.656410e-01 -7.826923e-01 7.442308e-02 3.375128e+00 -2.561538e-02 
3.249615e-01 4.540769e-02 7.003846e-01 1.973846e-09 9.942949e-01 -1.042564e+00 1.980769e-01 1.457308e-01 2.610513e+00 -1.923077e-03 
2.838846e-01 4.574615e-02 7.365385e-01 2.170769e-09 9.653205e-01 -1.190256e+00 -1.519231e-01 1.392692e-01 3.407436e+00 1.923077e-03 
3.018846e-01 4.857692e-02 6.434615e-01 2.478462e-09 9.771154e-01 -7.348718e-01 -7.673077e-01 7.419231e-02 2.951538e+00 1.469231e-02 
3.265769e-01 5.034615e-02 6.814103e-01 1.725641e-09 9.855769e-01 -7.676923e-01 4.903846e-01 1.125000e-01 2.732564e+00 -2.161538e-02 
2.688846e-01 5.056154e-02 6.732051e-01 1.858974e-09 9.700641e-01 -8.210256e-01 -6.750000e-01 7.096154e-02 2.797179e+00 -1.961538e-02 
3.044231e-01 4.899231e-02 7.185897e-01 2.431282e-09 9.925000e-01 -1.180000e+00 -1.826923e-01 1.362692e-01 3.472051e+00 7.461538e-03 
3.478077e-01 4.520769e-02 6.744872e-01 2.053846e-09 9.571154e-01 -7.594872e-01 1.057692e-01 9.888462e-02 2.660769e+00 1.238462e-02 
2.781154e-01 4.603846e-02 6.516667e-01 2.388205e-09 9.694231e-01 -1.126667e+00 -3.173077e-01 1.395000e-01 3.619231e+00 -3.846154e-04 
